candidate,config,strategy,phase,n,rps
level_all10:bookmaker,level_all10,bookmaker,full_season,1224,0.19959975734526655
level_all10_early2:bookmaker,level_all10_early2,bookmaker,full_season,1224,0.19959975734526655
level_all10:soft_blend_h17,level_all10,soft_blend_h17,full_season,1224,0.21170176047166622
level_all10_early2:soft_blend_h17,level_all10_early2,soft_blend_h17,full_season,1224,0.21192955579936718
level_all10:soft_blend_h10,level_all10,soft_blend_h10,full_season,1224,0.21197226271112218
level_all10_early2:soft_blend_h10,level_all10_early2,soft_blend_h10,full_season,1224,0.21247022031744436
level_all10:soft_blend_h6,level_all10,soft_blend_h6,full_season,1224,0.21266263881874548
level_all10:midseason_reset,level_all10,midseason_reset,full_season,1224,0.21335378592041318
level_all10_early2:soft_blend_h6,level_all10_early2,soft_blend_h6,full_season,1224,0.213417360142034
level_all10_early2:midseason_reset,level_all10_early2,midseason_reset,full_season,1224,0.21372664524849966
level_all10:soft_blend_h3,level_all10,soft_blend_h3,full_season,1224,0.2138886627875171
level_all10_early2:updating_prior,level_all10_early2,updating_prior,full_season,1224,0.21431436483529182
level_all10_early2:soft_blend_h3,level_all10_early2,soft_blend_h3,full_season,1224,0.21478388647140026
level_all10:updating_prior,level_all10,updating_prior,full_season,1224,0.21493239874721023
level_all10:current_only,level_all10,current_only,full_season,1224,0.21738321860417498
level_all10_early2:current_only,level_all10_early2,current_only,full_season,1224,0.21809337040182902
level_all10:bookmaker,level_all10,bookmaker,matchdays_18_34,612,0.19467604455605983
level_all10_early2:bookmaker,level_all10_early2,bookmaker,matchdays_18_34,612,0.19467604455605983
level_all10:soft_blend_h17,level_all10,soft_blend_h17,matchdays_18_34,612,0.21198884973793414
level_all10_early2:soft_blend_h17,level_all10_early2,soft_blend_h17,matchdays_18_34,612,0.21217080030743365
level_all10:soft_blend_h10,level_all10,soft_blend_h10,matchdays_18_34,612,0.21251836826795303
level_all10_early2:soft_blend_h10,level_all10_early2,soft_blend_h10,matchdays_18_34,612,0.21298681605367709
level_all10:soft_blend_h6,level_all10,soft_blend_h6,matchdays_18_34,612,0.21321595568179613
level_all10:soft_blend_h3,level_all10,soft_blend_h3,matchdays_18_34,612,0.2135888202203743
level_all10:current_only,level_all10,current_only,matchdays_18_34,612,0.21361319387869487
level_all10:midseason_reset,level_all10,midseason_reset,matchdays_18_34,612,0.21361319387869487
level_all10_early2:soft_blend_h6,level_all10_early2,soft_blend_h6,matchdays_18_34,612,0.21395435201635316
level_all10_early2:soft_blend_h3,level_all10_early2,soft_blend_h3,matchdays_18_34,612,0.21451135014675882
level_all10_early2:current_only,level_all10_early2,current_only,matchdays_18_34,612,0.21455391845476504
level_all10_early2:midseason_reset,level_all10_early2,midseason_reset,matchdays_18_34,612,0.21455391845476504
level_all10_early2:updating_prior,level_all10_early2,updating_prior,matchdays_18_34,612,0.21572935762834927
level_all10:updating_prior,level_all10,updating_prior,matchdays_18_34,612,0.21677041953228898
level_all10:bookmaker,level_all10,bookmaker,matchdays_1_5,180,0.1873468932246408
level_all10_early2:bookmaker,level_all10_early2,bookmaker,matchdays_1_5,180,0.1873468932246408
level_all10_early2:updating_prior,level_all10_early2,updating_prior,matchdays_1_5,180,0.1979691287585555
level_all10_early2:midseason_reset,level_all10_early2,midseason_reset,matchdays_1_5,180,0.1979691287585555
level_all10:updating_prior,level_all10,updating_prior,matchdays_1_5,180,0.1980386060715473
level_all10:midseason_reset,level_all10,midseason_reset,matchdays_1_5,180,0.1980386060715473
level_all10_early2:soft_blend_h17,level_all10_early2,soft_blend_h17,matchdays_1_5,180,0.19809860206936666
level_all10:soft_blend_h17,level_all10,soft_blend_h17,matchdays_1_5,180,0.19827393812766697
level_all10_early2:soft_blend_h10,level_all10_early2,soft_blend_h10,matchdays_1_5,180,0.19837875780566666
level_all10:soft_blend_h10,level_all10,soft_blend_h10,matchdays_1_5,180,0.19863574912554582
level_all10_early2:soft_blend_h6,level_all10_early2,soft_blend_h6,matchdays_1_5,180,0.19904280108280276
level_all10:soft_blend_h6,level_all10,soft_blend_h6,matchdays_1_5,180,0.19943553459105465
level_all10_early2:soft_blend_h3,level_all10_early2,soft_blend_h3,matchdays_1_5,180,0.2011821105430838
level_all10:soft_blend_h3,level_all10,soft_blend_h3,matchdays_1_5,180,0.20188804794449342
level_all10_early2:current_only,level_all10_early2,current_only,matchdays_1_5,180,0.21861017854184825
level_all10:current_only,level_all10,current_only,matchdays_1_5,180,0.2201301568911071
level_all10:bookmaker,level_all10,bookmaker,matchdays_6_17,432,0.21168037718023688
level_all10_early2:bookmaker,level_all10_early2,bookmaker,matchdays_6_17,432,0.21168037718023688
level_all10:soft_blend_h10,level_all10,soft_blend_h10,matchdays_6_17,432,0.2167554938329353
level_all10:soft_blend_h17,level_all10,soft_blend_h17,matchdays_6_17,432,0.21688997665445292
level_all10_early2:soft_blend_h17,level_all10_early2,soft_blend_h17,matchdays_6_17,432,0.21735069013377328
level_all10:soft_blend_h6,level_all10,soft_blend_h6,matchdays_6_17,432,0.2173900666909615
level_all10_early2:soft_blend_h10,level_all10_early2,soft_blend_h10,matchdays_6_17,432,0.21760981907102206
level_all10_early2:soft_blend_h6,level_all10_early2,soft_blend_h6,matchdays_6_17,432,0.2186460212614281
level_all10_early2:updating_prior,level_all10_early2,updating_prior,matchdays_6_17,432,0.21912030674376717
level_all10_early2:midseason_reset,level_all10_early2,midseason_reset,matchdays_6_17,432,0.21912030674376717
level_all10:soft_blend_h3,level_all10,soft_blend_h3,matchdays_6_17,432,0.21931369594222924
level_all10:updating_prior,level_all10,updating_prior,matchdays_6_17,432,0.21936761624987497
level_all10:midseason_reset,level_all10,midseason_reset,matchdays_6_17,432,0.21936761624987497
level_all10_early2:soft_blend_h3,level_all10_early2,soft_blend_h3,matchdays_6_17,432,0.2208373862347741
level_all10:current_only,level_all10,current_only,matchdays_6_17,432,0.2215795293457169
level_all10_early2:current_only,level_all10_early2,current_only,matchdays_6_17,432,0.22289225726849496
