candidate,reference,n,rps_advantage,ci_low,ci_high
level_all10:soft_blend_h17,level_all10_early2:soft_blend_h17,1224,0.00022779532770097094,-0.0018347660862332248,0.0023551896834717694
level_all10:soft_blend_h17,level_all10:soft_blend_h10,1224,0.0002705022394559588,-0.0006017228338839468,0.0011385209168732105
level_all10:soft_blend_h17,level_all10_early2:soft_blend_h10,1224,0.0007684598457781466,-0.0015115382153343974,0.003076282392467051
level_all10:soft_blend_h17,level_all10:soft_blend_h6,1224,0.000960878347079244,-0.0006526193110567202,0.0025811682666173744
level_all10:soft_blend_h17,level_all10:midseason_reset,1224,0.0016520254487469828,-0.00015989269585861855,0.003404566111435022
level_all10:soft_blend_h17,level_all10_early2:soft_blend_h6,1224,0.0017155996703677476,-0.0008785781873520142,0.0043350842302418025
level_all10:soft_blend_h17,level_all10_early2:midseason_reset,1224,0.0020248847768334784,-0.0009149747080556153,0.004992800087181272
