summer_variance_scale,matchday,rps_fresh,rps_carry,n,fresh_minus_carry
1.0,1,0.4040721371207861,0.3985114379153026,9,0.005560699205483521
1.0,2,0.2074964033002036,0.1875830132159556,9,0.019913390084248
1.0,3,0.23057878217403116,0.22583496383747237,9,0.004743818336558792
1.0,4,0.21573694359458032,0.20821281234099345,9,0.007524131253586863
1.0,5,0.20353853792329296,0.187557734540812,9,0.01598080338248095
1.0,6,0.2214343857569954,0.21403012738453542,9,0.007404258372459976
1.0,7,0.18001082399540952,0.1783210787962506,9,0.0016897451991589318
1.0,8,0.17016194438076104,0.16473307325514838,9,0.005428871125612661
1.0,9,0.18698441505934627,0.19272266777365793,9,-0.005738252714311665
1.0,10,0.18484720880319994,0.17715734714381576,9,0.007689861659384178
1.0,11,0.15474573433071281,0.16198630471739425,9,-0.007240570386681439
1.0,12,0.23051425224698985,0.23180451374548217,9,-0.0012902614984923177
1.0,13,0.235082150497277,0.24427499586040627,9,-0.009192845363129282
1.0,14,0.21981898655152593,0.22000902656610288,9,-0.0001900400145769532
1.0,15,0.1865844014138347,0.1779481036082734,9,0.0086362978055613
1.0,16,0.16589355007792211,0.16033588538540178,7,0.005557664692520337
1.0,17,0.14766189196540827,0.14941358809257116,9,-0.0017516961271628884
1.0,18,0.1335570650564391,0.13371271604659266,10,-0.00015565099015354966
1.0,19,0.2525795253416261,0.2529187037841629,9,-0.00033917844253683604
1.0,20,0.20157825169139543,0.20143178410554008,9,0.0001464675858553477
1.0,21,0.19722767381778278,0.19806432987658404,9,-0.0008366560588012606
1.0,22,0.1456473606101455,0.15198688009832104,9,-0.0063395194881755434
1.0,23,0.20159320799928374,0.20340221637604577,9,-0.001809008376762039
1.0,24,0.2324701932546978,0.23442287867693948,10,-0.0019526854222416679
1.0,25,0.17692870618065928,0.1762352487496298,9,0.0006934574310294706
1.0,26,0.19247644395936742,0.1832353188745151,9,0.009241125084852309
1.0,27,0.15868650189932387,0.15935690459696905,9,-0.0006704026976451782
1.0,28,0.19858056035798408,0.1950495439167747,9,0.0035310164412093725
1.0,29,0.21082573134296648,0.2049092837927973,9,0.005916447550169179
1.0,30,0.229129555796178,0.22872591574595733,9,0.0004036400502206716
1.0,31,0.1390385199542964,0.13755133611046302,9,0.0014871838438333673
1.0,32,0.26844838594029174,0.270340738666567,9,-0.0018923527262752482
1.0,33,0.21589799249983022,0.223967843693017,9,-0.008069851193186789
1.0,34,0.20645758316839338,0.20114608603639492,9,0.005311497131998466
