summer_variance_scale,matchday,rps_fresh,rps_carry,n,fresh_minus_carry
0.5,1,0.3381997931625952,0.33478392658917067,99,0.0034158665734245197
0.5,2,0.2309334736492121,0.22782540853982425,99,0.003108065109387853
0.5,3,0.21213535911481082,0.20819823335611232,99,0.0039371257586985065
0.5,4,0.2224276160897456,0.22200745322788626,99,0.0004201628618593356
0.5,5,0.19730798852157916,0.19435802185261639,99,0.0029499666689627724
0.5,6,0.201142830424407,0.2034526429277087,99,-0.0023098125033017003
0.5,7,0.2102282834838903,0.20740171729189444,99,0.0028265661919958662
0.5,8,0.2105048624389443,0.2082447648155773,99,0.0022600976233670134
0.5,9,0.20412738756717155,0.2007847296153995,99,0.003342657951772049
0.5,10,0.21309611917264804,0.21537899042592915,99,-0.00228287125328111
0.5,11,0.20532532157220817,0.20223827773608594,99,0.0030870438361222385
0.5,12,0.2007068771947941,0.1969842162760303,99,0.003722660918763804
0.5,13,0.22062348306792404,0.2194166056481842,98,0.001206877419739849
0.5,14,0.21134747627695305,0.2105588356940928,99,0.0007886405828602394
0.5,15,0.23474244135900776,0.22812985959362111,99,0.006612581765386649
0.5,16,0.18481266617692657,0.18506850557316648,97,-0.0002558393962399097
0.5,17,0.20446987187599017,0.20684330865612263,99,-0.002373436780132465
0.5,18,0.24959727432232687,0.23951750947646808,100,0.01007976484585879
0.5,19,0.191047504380602,0.18819485312614773,99,0.002852651254454275
0.5,20,0.22429117053671205,0.22539257411902833,99,-0.0011014035823162793
0.5,21,0.1933410957874434,0.19507679986452922,98,-0.0017357040770858145
0.5,22,0.19012683377217462,0.18841452333195544,99,0.001712310440219189
0.5,23,0.2022740993353274,0.2050195269245706,99,-0.0027454275892432045
0.5,24,0.2085097546413694,0.20932359053261057,100,-0.0008138358912411769
0.5,25,0.21445416327194253,0.2151508245685231,99,-0.0006966612965805807
0.5,26,0.20133063577027444,0.20289641333530864,99,-0.0015657775650342043
0.5,27,0.22331276917435564,0.2249397827693605,99,-0.0016270135950048614
0.5,28,0.20462562403168313,0.20609278259862507,100,-0.001467158566941934
0.5,29,0.2108699073776557,0.20769442519546452,99,0.003175482182191186
0.5,30,0.2137783091905628,0.21200362683007593,98,0.0017746823604868622
0.5,31,0.2189161402988891,0.21676138552745808,100,0.002154754771431011
0.5,32,0.18774807842250316,0.19833074887899954,100,-0.010582670456496385
0.5,33,0.22380084771771883,0.2251469078378404,99,-0.0013460601201215616
0.5,34,0.20810418573490097,0.2134313305029918,99,-0.005327144768090819
1.0,1,0.3381997931625952,0.33524741905470784,99,0.0029523741078873456
1.0,2,0.2309334736492121,0.22824889262370746,99,0.0026845810255046454
1.0,3,0.21213535911481082,0.20853256434424342,99,0.003602794770567408
1.0,4,0.2224276160897456,0.2221907162622254,99,0.0002368998275202039
1.0,5,0.19730798852157916,0.19693330373586546,99,0.00037468478571370256
1.0,6,0.201142830424407,0.2053153678586855,99,-0.004172537434278506
1.0,7,0.2102282834838903,0.2069811629803435,99,0.0032471205035468076
1.0,8,0.2105048624389443,0.20731796805113553,99,0.0031868943878087808
1.0,9,0.20412738756717155,0.20335495713347385,99,0.0007724304336977073
1.0,10,0.21309611917264804,0.21465207280800985,99,-0.0015559536353618175
1.0,11,0.20532532157220817,0.20074372495748524,99,0.0045815966147229326
1.0,12,0.2007068771947941,0.19837810658293054,99,0.0023287706118635676
1.0,13,0.22062348306792404,0.21894606054474186,98,0.001677422523182176
1.0,14,0.21134747627695305,0.21068300100267653,99,0.0006644752742765159
1.0,15,0.23474244135900776,0.23162496588024048,99,0.0031174754787672843
1.0,16,0.18481266617692657,0.1857570017595751,97,-0.0009443355826485311
1.0,17,0.20446987187599017,0.20499712842343712,99,-0.0005272565474469526
1.0,18,0.24959727432232687,0.2406795190961262,100,0.008917755226200669
1.0,19,0.191047504380602,0.1883592016734585,99,0.002688302707143514
1.0,20,0.22429117053671205,0.2230977091682544,99,0.00119346136845766
1.0,21,0.1933410957874434,0.19583958211726915,98,-0.0024984863298257443
1.0,22,0.19012683377217462,0.18870579210732655,99,0.0014210416648480773
1.0,23,0.2022740993353274,0.20675323425843156,99,-0.004479134923104172
1.0,24,0.2085097546413694,0.20667510449266932,100,0.0018346501487000733
1.0,25,0.21445416327194253,0.21657828675859822,99,-0.0021241234866556935
1.0,26,0.20133063577027444,0.20471288226461132,99,-0.0033822464943368824
1.0,27,0.22331276917435564,0.22519384458489075,99,-0.0018810754105351157
1.0,28,0.20462562403168313,0.20288275164419065,100,0.001742872387492489
1.0,29,0.2108699073776557,0.20825614154135863,99,0.0026137658362970773
1.0,30,0.2137783091905628,0.2153272311977454,98,-0.0015489220071826237
1.0,31,0.2189161402988891,0.21494039827395878,100,0.003975742024930312
1.0,32,0.18774807842250316,0.19231651694384128,100,-0.0045684385213381196
1.0,33,0.22380084771771883,0.22580490111038867,99,-0.0020040533926698467
1.0,34,0.20810418573490097,0.21738050159814842,99,-0.009276315863247453
2.0,1,0.3381997931625952,0.33588693024467575,99,0.0023128629179194338
2.0,2,0.2309334736492121,0.22921899414892327,99,0.0017144795002888291
2.0,3,0.21213535911481082,0.21046103474098313,99,0.0016743243738276958
2.0,4,0.2224276160897456,0.22001855009264343,99,0.0024090659971021666
2.0,5,0.19730798852157916,0.1960789135508625,99,0.0012290749707166704
2.0,6,0.201142830424407,0.20009269391814868,99,0.0010501365062583201
2.0,7,0.2102282834838903,0.2063681966769404,99,0.0038600868069499084
2.0,8,0.2105048624389443,0.2100386765553224,99,0.0004661858836219057
2.0,9,0.20412738756717155,0.1993874995085345,99,0.004739888058637065
2.0,10,0.21309611917264804,0.21525406363109859,99,-0.0021579444584505503
2.0,11,0.20532532157220817,0.2043318185080981,99,0.000993503064110085
2.0,12,0.2007068771947941,0.20012281556212144,99,0.0005840616326726611
2.0,13,0.22062348306792404,0.2219484419732584,98,-0.0013249589053343502
2.0,14,0.21134747627695305,0.21149054731713277,99,-0.00014307104017971528
2.0,15,0.23474244135900776,0.23109093601077843,99,0.0036515053482293336
2.0,16,0.18481266617692657,0.18651819056751498,97,-0.0017055243905884088
2.0,17,0.20446987187599017,0.20555355135260459,99,-0.0010836794766144187
2.0,18,0.24959727432232687,0.24141255299614495,100,0.00818472132618192
2.0,19,0.191047504380602,0.19497793199358496,99,-0.003930427612982956
2.0,20,0.22429117053671205,0.21655919716106792,99,0.00773197337564413
2.0,21,0.1933410957874434,0.19743044471644883,98,-0.004089348929005421
2.0,22,0.19012683377217462,0.1919935989041456,99,-0.0018667651319709822
