strategy,n,rps,log_loss,brier
soft_blend_h10_to_v2,3060,0.2051397076000064,0.998203009123666,0.5960888371944258
soft_blend_h17_to_v2,3060,0.20522373234716465,0.9984842555362136,0.596315067377315
cosine_taper_k30_to_v2,3060,0.20552338638711143,0.9993256503849175,0.5970007289957471
current_only_to_v2,3060,0.20912835247135272,1.0099958604643922,0.6043649977146097
updating_prior_to_v2,3060,0.20658801732407317,1.003069772121698,0.5993884825840455
bookmaker,3060,0.198456428842633,0.9773888818157297,0.5814972520616304
