candidate,reference,n,rps_advantage,ci_low,ci_high
level_all10:soft_blend_h17,level_all10:soft_blend_h10,3366,5.70521492931252e-05,-0.0003197418587606947,0.00044575712618438046
level_all10:soft_blend_h17,level_all10:soft_blend_h6,3366,0.0003876802574634693,-0.0003743726654108354,0.001135051564551835
level_all10:soft_blend_h17,level_all10:cosine_taper_k18,3366,0.0006159749054205195,-0.00016625600763416672,0.001373039623746404
level_all10:soft_blend_h17,level_all10:cosine_taper_k30,3366,0.0006250737793109065,0.00018964345768100705,0.0010580952053093073
level_all10:soft_blend_h17,level_all10:cosine_taper_k25,3366,0.0006808451472318639,0.00014464040151016512,0.0012129128692870271
level_all10:soft_blend_h17,level_all10:soft_blend_h3,3366,0.0010821462667856589,-6.202079829881691e-05,0.0022046872073140105
level_all10:soft_blend_h17,level_all10:midseason_reset,3366,0.0017500363044131812,0.0009546824824886445,0.002567931239161667
