test_season,n_train_seasons,selected_candidate,train_rps,test_rps,fresh_rps,bookmaker_rps
2018/19,3,carry_s1_always,0.20893988632735896,0.20085123746399425,0.20276530932888945,0.19494919356816304
2019/20,4,carry_s1_always,0.20691772411151782,0.2119744283462033,0.2114783083308001,0.20436580486310887
2020/21,5,carry_s1_always,0.2079290649584549,0.2048746483837853,0.20766897521614155,0.19660036777818987
2021/22,6,carry_s1_cos_w2_end30,0.2072971172014169,0.20564793893055236,0.2070448615054446,0.20248366317160452
2022/23,7,carry_s1_cos_w2_end30,0.20706152030557912,0.21103708273432797,0.21282950779674703,0.20454113005547817
2023/24,8,carry_s1_always,0.20755792659321495,0.19259037575663918,0.19290561197368938,0.1843257678746629
2024/25,9,carry_s1_cos_w2_end30,0.20588613295000682,0.20904851231557361,0.2093396019646363,0.2019175530385194
2025/26,10,carry_s1_cos_w4_end30,0.20617774165635738,0.19883502966633135,0.2007913610049554,0.1898701825422491
