strategy,reference,phase,n,rps_advantage,ci_low,ci_high
updating_prior,fixed_preseason,full_season,918,0.003080720139427893,-0.003967395195440951,0.010204359056212448
midseason_reset,updating_prior,full_season,918,0.0067658388731513175,0.003015897593308288,0.01060656875533861
midseason_reset,updating_prior,matchdays_18_34,459,0.013531677746302633,0.006180181069961473,0.020918839009189276
bookmaker,midseason_reset,full_season,918,0.012032306179144431,0.006007238510995432,0.018054563906634645
