summer_variance_scale,matchday,rps_fresh,rps_carry,n,fresh_minus_carry
1.0,1,0.20666819502773504,0.20382051980877333,99,0.002847675218961704
1.0,2,0.219597703739504,0.2169056207711619,99,0.0026920829683420855
1.0,3,0.21140104172315827,0.20548005611521702,99,0.005920985607941243
1.0,4,0.21447473022935168,0.2127889418415245,99,0.0016857883878271807
1.0,5,0.19157266616363763,0.18670216935082717,99,0.00487049681281046
1.0,6,0.20683689815493742,0.20803008759709066,99,-0.0011931894421532419
1.0,7,0.21032137211219476,0.20975473069032163,99,0.0005666414218731264
1.0,8,0.20940691704168082,0.20794151780246672,99,0.001465399239214099
1.0,9,0.19640543959253373,0.1960352447568667,99,0.00037019483566702593
1.0,10,0.20287243683347797,0.2073415931062387,99,-0.004469156272760733
1.0,11,0.2116263836272041,0.207694700592141,99,0.003931683035063083
1.0,12,0.1889227098788893,0.19280206208725392,99,-0.0038793522083646337
1.0,13,0.21901304994076537,0.21733049796588372,98,0.001682551974881652
1.0,14,0.21242165357630563,0.21190855610008144,99,0.0005130974762241891
1.0,15,0.22903844726364908,0.22706732391543902,99,0.001971123348210063
1.0,16,0.18807870907236962,0.18624426786707357,97,0.0018344412052960501
1.0,17,0.2001061395530734,0.19920217547551097,99,0.0009039640775624358
1.0,18,0.238988439802934,0.24210816432094245,100,-0.00311972451800846
1.0,19,0.1898394219734864,0.186358444161034,99,0.003480977812452407
1.0,20,0.21725052075924026,0.21466256544056653,99,0.002587955318673729
1.0,21,0.1947987165895415,0.1992689114131963,98,-0.004470194823654794
1.0,22,0.18931011777594803,0.19376717347563663,99,-0.0044570556996886
1.0,23,0.19786653867289902,0.19471957104625062,99,0.0031469676266484004
1.0,24,0.21009596067660033,0.20882321433179005,100,0.0012727463448102827
1.0,25,0.21580349149980257,0.2139672310095569,99,0.0018362604902456836
1.0,26,0.1920351755809002,0.19066544862735263,99,0.001369726953547562
1.0,27,0.2146222908626671,0.21317380308382725,99,0.001448487778839852
1.0,28,0.19887604102113202,0.1960146624652636,100,0.0028613785558684046
1.0,29,0.2031510451000665,0.20428187161186198,99,-0.0011308265117954686
1.0,30,0.1978071082570279,0.1992527720365273,98,-0.0014456637794993954
1.0,31,0.2158074402647068,0.21680798819067323,100,-0.001000547925966433
1.0,32,0.18321427875020993,0.18594495709285208,100,-0.002730678342642151
1.0,33,0.2228463063217191,0.2213013469521493,99,0.001544959369569776
1.0,34,0.21772004193272831,0.21745962324690413,99,0.0002604186858241875
