candidate,rps
bookmaker,0.19891760652088933
carry_s1_cos_w2_end30,0.20564177173476803
carry_s1_cos_w4_end30,0.2056708967664296
carry_s1_hard_end30,0.20567214695191902
carry_s1_cos_w6_end30,0.20570917482231307
carry_s1_hard_end28,0.20572389562420634
carry_s1_cos_w2_end28,0.2057342895204352
carry_s1_cos_w4_end28,0.20576873200955476
carry_s1_always,0.20577198808375732
carry_s1_cos_w4_end22,0.20578044476320553
carry_s1_cos_w2_end22,0.20578540637427922
carry_s1_cos_w6_end22,0.20579215374427595
carry_s1_hard_end20,0.20580603984468204
carry_s1_hard_end26,0.20580678429280597
carry_s1_cos_w6_end28,0.2058089709512056
carry_s1_hard_end18,0.20581573810719897
carry_s1_cos_w6_end24,0.2058169156459153
carry_s1_cos_w2_end18,0.20581989313040272
carry_s1_cos_w2_end26,0.20582411377161694
carry_s1_cos_w4_end20,0.20582904538652297
carry_s1_cos_w6_end20,0.20583194861138585
carry_s1_cos_w2_end20,0.20584493479564256
carry_s1_cos_w4_end18,0.20585414946198996
carry_s1_hard_end22,0.20586007178650303
carry_s1_cos_w6_end26,0.20586238194129566
carry_s1_cos_w4_end26,0.205867918455985
carry_s1_cos_w4_end24,0.20587333322686083
carry_s1_cos_w2_end10,0.2058813908723227
carry_s1_cos_w6_end18,0.20588619787743181
carry_s1_hard_end10,0.20588733509964982
carry_s1_cos_w6_end12,0.20589475423562834
carry_s1_hard_end16,0.2058951894561569
carry_s1_cos_w4_end10,0.20589681797510034
carry_s1_hard_end24,0.20589860378865127
carry_s1_hard_end12,0.2059031431360527
carry_s1_cos_w6_end10,0.2059068090586292
carry_s1_cos_w2_end16,0.20591532319064912
carry_s1_cos_w4_end12,0.20591544080643528
carry_s1_cos_w6_end14,0.20592025341660047
carry_s1_hard_end6,0.2059228952777263
carry_s1_cos_w6_end16,0.20593183954969355
carry_s1_cos_w2_end24,0.20593477461932824
carry_s1_cos_w4_end16,0.2059383967308488
carry_s1_cos_w4_end8,0.20593911778061802
carry_s1_hard_end8,0.20594132316067576
carry_s1_cos_w2_end8,0.20594201936089437
carry_s1_cos_w4_end14,0.20594744420593064
carry_s1_cos_w2_end12,0.20594960440007865
carry_s1_hard_end14,0.2059682547745226
carry_s1_cos_w2_end14,0.20598326279607745
carry_s1_cos_w2_end6,0.20598597518117523
carry_s1_cos_w6_end8,0.20599669542683194
carry_s1_cos_w4_end6,0.20607580552243374
carry_s1_hard_end4,0.20611572719539215
carry_s1_cos_w6_end6,0.20612722352177912
carry_s1_cos_w2_end4,0.20619258539887747
carry_s1_cos_w4_end4,0.20624992739724127
carry_s1_cos_w6_end4,0.20624992739724127
fresh_always,0.20645280789525228
