candidate,reference,n,rps_advantage,ci_low,ci_high
level_all10:midseason_reset,level_all10:soft_blend_h10,918,0.0002529799095964324,-0.001420711533198013,0.0019438863258367397
level_all10:midseason_reset,level_all10:soft_blend_h17,918,0.0003253212956572118,-0.0012222743029744398,0.0018756699633169856
level_all10:midseason_reset,level_all10:soft_blend_h6,918,0.0006950126807995351,-0.0015271857117980384,0.0028399760201383117
level_all10:midseason_reset,level_all10:soft_blend_h3,918,0.0017688562994508262,-0.0012537541356492197,0.004631463545913895
level_all10:midseason_reset,level_all10:updating_prior,918,0.00334825734060004,0.00036557684094299156,0.006390215983775286
level_all10:midseason_reset,level_all10:current_only,918,0.005993160449676329,0.0015666320641260128,0.010386035862946043
