season,candidate,rps
2023/24,bookmaker,0.04059595490627969
2023/24,bookmaker,0.13699698899954962
2023/24,bookmaker,0.34762658303142585
2023/24,bookmaker,0.23620304373989626
2023/24,bookmaker,0.12509317449152357
2023/24,bookmaker,0.10234931610306838
2023/24,bookmaker,0.07478159838260362
2023/24,bookmaker,0.19395571880420354
2023/24,bookmaker,0.0712648894791625
2023/24,bookmaker,0.09948350616762874
2023/24,bookmaker,0.20743533346964005
2023/24,bookmaker,0.16299107618997488
2023/24,bookmaker,0.3575865916759421
2023/24,bookmaker,0.131883060380216
2023/24,bookmaker,0.20887488148749234
2023/24,bookmaker,0.1221397642071565
2023/24,bookmaker,0.12688037935604712
2023/24,bookmaker,0.008886162353453316
2023/24,bookmaker,0.29686660465962367
2023/24,bookmaker,0.2623222807032422
2023/24,bookmaker,0.139348377124302
2023/24,bookmaker,0.024330630377926786
2023/24,bookmaker,0.031453662144829184
2023/24,bookmaker,0.2714401358708593
2023/24,bookmaker,0.2197762915734319
2023/24,bookmaker,0.13755450246081574
2023/24,bookmaker,0.1789521210541998
2023/24,bookmaker,0.19935140298633555
2023/24,bookmaker,0.33746063154456796
2023/24,bookmaker,0.22563912720182797
2023/24,bookmaker,0.2691563695626543
2023/24,bookmaker,0.19388587698908927
2023/24,bookmaker,0.1272443361483333
2023/24,bookmaker,0.03274147727806012
2023/24,bookmaker,0.2217814155564439
2023/24,bookmaker,0.13688171239109914
2023/24,bookmaker,0.05241882086479928
2023/24,bookmaker,0.2485353527824571
2023/24,bookmaker,0.12004540154254145
2023/24,bookmaker,0.010569427929713293
2023/24,bookmaker,0.2259149606064822
2023/24,bookmaker,0.36559046176029636
2023/24,bookmaker,0.10489864865735392
2023/24,bookmaker,0.021231910515044257
2023/24,bookmaker,0.1366943649546577
2023/24,n0_fresh_v2,0.21872129097811296
2023/24,n0_fresh_v2,0.35408521120562536
2023/24,n0_fresh_v2,0.014791093889062478
2023/24,n0_fresh_v2,0.7902785876172904
2023/24,n0_fresh_v2,0.7468302481235798
2023/24,n0_fresh_v2,0.6914688240377049
2023/24,n0_fresh_v2,0.7144908933115142
2023/24,n0_fresh_v2,0.1774659630632294
2023/24,n0_fresh_v2,0.09878247062215026
2023/24,n0_fresh_v2,0.19205691213510834
2023/24,n0_fresh_v2,0.16361262583746755
2023/24,n0_fresh_v2,0.19744387821251153
2023/24,n0_fresh_v2,0.288078713593336
2023/24,n0_fresh_v2,0.2838602638587305
2023/24,n0_fresh_v2,0.2526377890801527
2023/24,n0_fresh_v2,0.12142846572228322
2023/24,n0_fresh_v2,0.14643971732808964
2023/24,n0_fresh_v2,0.12576811783218458
2023/24,n0_fresh_v2,0.19408701982433713
2023/24,n0_fresh_v2,0.2888845238128264
2023/24,n0_fresh_v2,0.15984646058829682
2023/24,n0_fresh_v2,0.09430801872368243
2023/24,n0_fresh_v2,0.18832819597486825
