candidate,rps
bookmaker,0.1920378344851438
carry_s1_hard_end26,0.19844030620769837
carry_s1_hard_end28,0.19844830689837353
carry_s1_cos_w2_end26,0.19845523088035014
carry_s1_cos_w4_end30,0.19845956891073133
carry_s1_cos_w2_end30,0.19846079778741085
carry_s1_cos_w6_end30,0.19846235148311756
carry_s1_cos_w4_end28,0.19846994750245517
carry_s1_cos_w6_end28,0.19847063654141275
carry_s1_cos_w4_end26,0.19847334618387458
carry_s1_hard_end30,0.19847546298344915
carry_s1_cos_w2_end28,0.1984813524135958
carry_s1_cos_w2_end24,0.19848262179316017
carry_s1_cos_w6_end26,0.19849264796972982
carry_s1_hard_end24,0.19849712698197639
carry_s1_cos_w4_end24,0.19851680108523692
carry_s1_always,0.19852993152326118
carry_s1_hard_end22,0.19853426332637186
carry_s1_cos_w2_end22,0.19858182602326926
carry_s1_cos_w6_end24,0.1985917573595703
carry_s1_cos_w2_end18,0.1986473382597439
carry_s1_hard_end18,0.19865107446084382
carry_s1_cos_w4_end22,0.19867350036075473
carry_s1_cos_w4_end18,0.19868482237034651
carry_s1_cos_w6_end22,0.19868958679407447
carry_s1_cos_w6_end20,0.19869474201145015
carry_s1_cos_w2_end10,0.1987014645239144
carry_s1_cos_w4_end20,0.19870918894074632
carry_s1_hard_end16,0.19872588852350936
carry_s1_hard_end20,0.1987304072436286
carry_s1_hard_end10,0.19873448942207586
carry_s1_cos_w2_end16,0.19873474172003258
carry_s1_cos_w6_end18,0.198759502128148
carry_s1_cos_w2_end20,0.19876087437226997
carry_s1_cos_w4_end12,0.19876962330955192
carry_s1_cos_w6_end12,0.19879478358282007
carry_s1_hard_end12,0.19880613316880638
carry_s1_cos_w6_end14,0.19881070721180347
carry_s1_cos_w2_end12,0.19882637527427566
carry_s1_cos_w4_end10,0.19882968627701975
carry_s1_cos_w4_end16,0.1988408376553665
carry_s1_cos_w6_end16,0.19884710777194056
carry_s1_cos_w4_end14,0.19886204182140596
carry_s1_cos_w2_end14,0.19893187210347793
carry_s1_cos_w6_end10,0.19896493678269891
carry_s1_hard_end8,0.19897263862642775
carry_s1_hard_end14,0.19897425650469497
carry_s1_cos_w2_end8,0.19899547768090828
carry_s1_cos_w4_end8,0.1991166780772497
carry_s1_hard_end6,0.1991670044735556
carry_s1_cos_w2_end6,0.1992982565756776
carry_s1_cos_w6_end8,0.1993193668260763
carry_s1_cos_w4_end6,0.19954426601001132
carry_s1_cos_w6_end6,0.1996651291059501
carry_s1_hard_end4,0.1996749902959436
carry_s1_cos_w2_end4,0.1998185815948905
carry_s1_cos_w4_end4,0.19993343361817004
carry_s1_cos_w6_end4,0.19993343361817004
fresh_always,0.20012272140425225
