test_season,n_train_seasons,selected_candidate,train_rps,test_rps,fresh_rps,bookmaker_rps
2018/19,3,carry_s1_always,0.2088783503252921,0.20089045140253212,0.2016345265807997,0.19494919356816304
2019/20,4,carry_s1_always,0.2068813755946021,0.21302558803713967,0.2122473084204243,0.20436580486310887
2020/21,5,carry_s1_hard_end28,0.208042020386339,0.20513409594632712,0.20904029809303212,0.19660036777818987
2021/22,6,carry_s1_hard_end28,0.2075573663130037,0.2048805435186689,0.20580117020468416,0.20248366317160452
2022/23,7,carry_s1_hard_end28,0.20717496305667013,0.21184345010184297,0.21145357398721842,0.20454113005547817
2023/24,8,carry_s1_always,0.2076729472503268,0.1937955927167343,0.193660029301801,0.1843257678746629
2024/25,9,carry_s1_hard_end22,0.20603827364521657,0.2093763460053448,0.20920392393593665,0.2019175530385194
2025/26,10,carry_s1_cos_w2_end30,0.20633885619047684,0.19935166644497312,0.20070461151384417,0.1898701825422491
