season,n,PS_open,PS_open_pct,PS_close,PS_close_pct,B365_open,B365_open_pct,B365_close,B365_close_pct,Avg_open,Avg_open_pct,Avg_close,Avg_close_pct,BbAvg_open,BbAvg_open_pct,PS_both_open_close,PS_only_open,PS_only_close,B365_both_open_close,B365_only_open,B365_only_close,Any_open,Any_close,Any_open_and_any_close
2016/17,306,306,100.0,306,100.0,306,100.0,0,0.0,0,0.0,0,0.0,306,100.0,306,0,0,0,306,0,306,306,306
2017/18,306,306,100.0,306,100.0,306,100.0,0,0.0,0,0.0,0,0.0,306,100.0,306,0,0,0,306,0,306,306,306
2018/19,306,305,99.67320261437908,305,99.67320261437908,306,100.0,0,0.0,0,0.0,0,0.0,306,100.0,305,0,0,0,306,0,306,305,305
2019/20,306,306,100.0,306,100.0,306,100.0,306,100.0,306,100.0,306,100.0,0,0.0,306,0,0,306,0,0,306,306,306
2020/21,306,306,100.0,306,100.0,306,100.0,306,100.0,306,100.0,306,100.0,0,0.0,306,0,0,306,0,0,306,306,306
2021/22,306,306,100.0,306,100.0,306,100.0,306,100.0,306,100.0,306,100.0,0,0.0,306,0,0,306,0,0,306,306,306
2022/23,306,306,100.0,306,100.0,306,100.0,306,100.0,306,100.0,306,100.0,0,0.0,306,0,0,306,0,0,306,306,306
2023/24,306,306,100.0,306,100.0,306,100.0,306,100.0,306,100.0,306,100.0,0,0.0,306,0,0,306,0,0,306,306,306
2024/25,306,306,100.0,306,100.0,306,100.0,306,100.0,306,100.0,306,100.0,0,0.0,306,0,0,306,0,0,306,306,306
2025/26,306,150,49.01960784313725,149,48.69281045751634,306,100.0,306,100.0,306,100.0,306,100.0,0,0.0,149,1,0,306,0,0,306,306,306
TOTAL,3060,2903,94.86928104575163,2902,94.83660130718954,3060,100.0,2142,70.0,2142,70.0,2142,70.0,918,30.0,2902,1,0,2142,918,0,3060,3059,3059
