variant,n,mean_rps,delta_raw_minus_variant,rel_improvement_vs_raw_pct,ci_lo_raw_minus_variant,ci_hi_raw_minus_variant,wilcoxon_p_vs_raw,delta_book_minus_variant,rel_vs_book_pct,temperature,draw_multiplier,note,delta_paper_minus_variant,rel_vs_paper_pct
raw_v2,925,0.20298314107158386,0.0,0.0,0.0,0.0,,-0.0035620329219792635,-1.7861865050449157,1.0,1.0,Unchanged v2 probabilities.,0.007805711337445648,3.703094944650535
bookmaker,925,0.1994211081496046,0.0035620329219792635,1.7548417583719822,,,,0.0,0.0,,,"Fixed comparison baseline, not calibrated.",0.011367744259424911,5.392953246581627
paper,925,0.2107888524090295,-0.007805711337445648,-3.8454973631001663,,,,-0.011367744259424911,-5.700371623096635,,,"Fixed paper baseline, not calibrated.",0.0,0.0
wf_temperature,925,0.2032142440914406,-0.0002311030198567229,-0.11385330753908392,-0.0005548413302106609,8.522980307811046e-05,0.4600811272417292,-0.003793135941836001,-1.9020734449988173,0.975,1.0,Fair walk-forward calibration; first season uses identity.,0.00757460831758891,3.5934577331872406
oracle_temperature,925,0.20298314107158386,8.101627476994386e-19,3.991280967584038e-16,-3.0381103038728944e-19,2.0404098830948822e-18,0.1864829538178463,-0.0035620329219792635,-1.7861865050449157,1.0,1.0,Optimistic upper bound: fitted and evaluated on all matches.,0.007805711337445648,3.703094944650535
wf_draw,925,0.20306953600345518,-8.639493187134106e-05,-0.042562614518253564,-0.00037336772714845147,0.00020214726205376182,0.14155609642777606,-0.003648427853850583,-1.8295093672398777,1.0,0.925,Fair walk-forward calibration; first season uses identity.,0.007719316405574328,3.6621084641588273
oracle_draw,925,0.20297780967509824,5.331396485583734e-06,0.002626521817249625,-6.222356348684706e-05,7.371638465278124e-05,0.5147057670191186,-0.003556701525493644,-1.7835130686493963,1.0,1.02,Optimistic upper bound: fitted and evaluated on all matches.,0.007811042733931267,3.7056242038711664
wf_temperature_draw,925,0.20325991288881964,-0.00027677181723576906,-0.13635212056264465,-0.0006628065804623423,9.987601978698006e-05,0.10861228449249938,-0.0038388047392150515,-1.9249741287844024,0.995,0.91,Fair walk-forward calibration; first season uses identity.,0.00752893952020986,3.57179207257136
oracle_temperature_draw,925,0.2029767540243852,6.387047198654215e-06,0.0031465899901518242,-6.08606569236515e-05,7.329135267414335e-05,0.010877038125527504,-0.0035556458747806052,-1.7829837110889886,0.99,1.03,Optimistic upper bound: fitted and evaluated on all matches.,0.007812098384644306,3.706125013425834
