season,season_game,holdout_game,actual_result,actual_result_idx,p_home_v2,p_draw_v2,p_away_v2,p_home_book,p_draw_book,p_away_book,rps_v2,rps_book,d_book_v2,rps_paper,d_paper_v2,matched_season_game,date,home_team,away_team,home_goals,away_goals,AvgA,AvgCA,AvgCD,AvgCH,AvgD,AvgH,B365A,B365CA,B365CD,B365CH,B365D,B365H,BbAvA,BbAvD,BbAvH,PSA,PSCA,PSCD,PSCH,PSD,PSH,rps_v2_recomputed,rps_current_closing,p_home_pinnacle_open,p_draw_pinnacle_open,p_away_pinnacle_open,rps_pinnacle_open,p_home_bet365_open,p_draw_bet365_open,p_away_bet365_open,rps_bet365_open,p_home_market_avg_open,p_draw_market_avg_open,p_away_market_avg_open,rps_market_avg_open,p_home_betbrain_avg_open,p_draw_betbrain_avg_open,p_away_betbrain_avg_open,rps_betbrain_avg_open
2016/17,215,1,home_win,0,0.2763230977076358,0.3108827582976864,0.4127941439946779,0.3743229964121666,0.3113416668571037,0.3143353367307296,0.3470536321138854,0.2451392083681354,-0.1019144237457499,0.229738903711967,-0.1173147284019184,215,2017-03-12,Hamburg,M'gladbach,2,1,,,,,,,2.6,,,,3.3,2.75,2.62,3.24,2.8,2.67,3.12,3.15,2.62,3.3,2.92,0.3470536321138854,0.24513920836813546,0.33574155787740917,0.2970804087884954,0.36717803333409543,0.2880294930471127,0.3458980044345898,0.28824833702882485,0.3658536585365853,0.28084916003362814,,,,,0.3409594807364802,0.2946563413772051,0.36438417788631466,0.2835551175625076
2016/17,281,67,away_win,2,0.3026330220012364,0.3231523338366502,0.3742146441621133,0.2562599184342098,0.2718768663720287,0.4718632151937613,0.2415970287933755,0.1722988046306895,-0.069298224162686,0.2515947819980688,0.0099977532046933,281,2017-05-06,Hertha,RB Leipzig,1,4,,,,,,,2.1,,,,3.5,3.5,2.16,3.36,3.47,2.18,2.08,3.61,3.83,3.48,3.66,0.24159702879337552,0.17229880463068947,0.2680517277930888,0.28191647233411066,0.4500317998728005,0.18715837496200577,0.27272727272727276,0.27272727272727276,0.4545454545454546,0.18595041322314054,,,,,0.2747841890049978,0.28378009995456616,0.44143571104043616,0.19375020771401877
2016/17,280,66,home_win,0,0.4926339377983212,0.2730954949745151,0.2342705672271637,0.4102776259216028,0.2754391926833233,0.3142831813950739,0.1561515098714874,0.223273198298235,0.0671216884267476,0.2623090712727457,0.1061575614012583,280,2017-05-05,FC Koln,Werder Bremen,4,3,,,,,,,2.7,,,,3.5,2.55,2.72,3.51,2.53,2.77,3.12,3.56,2.39,3.65,2.6,0.1561515098714874,0.223273198298235,0.3772222740416006,0.2687062773994963,0.3540714485589031,0.25660934331725765,0.37410926365795727,0.2725653206650831,0.3533254156769596,0.2582890316010404,,,,,0.3772240024339072,0.27190220118455416,0.3508737963815386,0.25548118206581777
2016/17,279,65,home_win,0,0.4722485789927005,0.2890816247527069,0.2386697962545925,0.6584686263404176,0.2078640367049199,0.1336673369546624,0.1677424170097163,0.0672553180811762,-0.10048709892854,0.0767558046578452,-0.090986612351871,279,2017-04-30,Hoffenheim,Ein Frankfurt,1,0,,,,,,,6.0,,,,4.0,1.57,5.74,4.17,1.56,6.43,7.34,4.72,1.49,4.46,1.56,0.16774241700971632,0.0672553180811763,0.6279874392877007,0.2196547993921106,0.1523577613201887,0.08080311638111086,0.6045340050377834,0.23727959697732998,0.15818639798488665,0.09070814483944441,,,,,0.6075785497799235,0.22729557257953978,0.1651258776405367,0.09063057502969271
2016/17,278,64,home_win,0,0.398670575409089,0.2996900658600201,0.3016393587308906,0.3879631932355136,0.297438448147227,0.3145983586172593,0.2262916898072096,0.2367805900395714,0.0104889002323618,0.1924183140330266,-0.0338733757741829,278,2017-04-30,Augsburg,Hamburg,4,0,,,,,,,2.9,,,,3.3,2.5,2.86,3.25,2.5,2.95,3.12,3.3,2.53,3.35,2.58,0.2262916898072096,0.23678059003957147,0.37811107072484834,0.29120195894630113,0.33068697032885047,0.24804985635013435,0.38173115277223774,0.2891902672516952,0.329078579976067,0.24527453962570536,,,,,0.3783068783068783,0.291005291005291,0.3306878306878307,0.24792838946278095
2016/17,277,63,draw,1,0.6869577262805272,0.1944871563336621,0.1185551173858107,0.7546580308183715,0.1530507706807929,0.0922911985008356,0.2429831167774375,0.2890132043996913,0.0460300876222538,0.2130154449573858,-0.0299676718200516,273,2017-04-29,Dortmund,FC Koln,0,0,,,,,,,10.0,,,,5.75,1.29,10.09,5.9,1.28,11.03,10.63,6.41,1.3,6.43,1.29,0.24298311677743753,0.28901320439969136,0.7589695900212208,0.15226606082851862,0.08876434915026064,0.2919569741285246,0.7389083432389886,0.1657724804831818,0.09531917627782954,0.27753564253723545,,,,,0.744154243470478,0.16144363248173083,0.09440212404779107,0.281338649549927
2016/17,276,62,away_win,2,0.3814555453474589,0.3240936084380836,0.2944508462144574,0.4538558786346397,0.2730720606826802,0.2730720606826802,0.3216539707419111,0.367204693765673,0.0455507230237618,0.3602370815191664,0.0385831107772552,274,2017-04-29,Mainz,M'gladbach,1,2,,,,,,,3.3,,,,3.4,2.2,3.29,3.47,2.17,3.48,3.59,3.59,2.16,3.62,2.19,0.32165397074191115,0.367204693765673,0.44757093219074423,0.27076805013749444,0.28166101767176144,0.3581653164372307,0.43220338983050843,0.2796610169491525,0.288135593220339,0.34677535191037046,,,,,0.43764926875083865,0.27368844760499134,0.2886622836441701,0.34876911457423554
2016/17,275,61,home_win,0,0.3646207041939754,0.2599764873948543,0.3754028084111699,0.2801999620325255,0.2657723217110675,0.454027716256407,0.2723170590509767,0.362126630893493,0.0898095718425163,0.2150258643052469,-0.0572911947457297,272,2017-04-29,Darmstadt,Freiburg,3,0,,,,,,,2.25,,,,3.3,3.3,2.23,3.39,3.22,2.3,2.16,3.69,3.5,3.48,3.36,0.27231705905097675,0.36212663089349306,0.2918526297365887,0.2817887459525684,0.4263586243108427,0.3416271872676097,0.28846153846153844,0.28846153846153844,0.423076923076923,0.34264053254437876,,,,,0.2946550722830048,0.27987885921866534,0.42546606849832985,0.3392664212497593
2016/17,274,60,draw,1,0.5373432595632788,0.2680453139449149,0.1946114264918063,0.6200639276243105,0.2211514685432078,0.1587846038324815,0.1633056929596325,0.2048459123775621,0.0415402194179296,0.2243092575711591,0.0610035646115266,277,2017-04-29,RB Leipzig,Ingolstadt,0,0,,,,,,,7.0,,,,4.5,1.45,6.67,4.45,1.47,7.66,6.17,4.43,1.58,4.69,1.48,0.1633056929596325,0.20484591237756217,0.6627886811528428,0.20915293136592905,0.1280583874812281,0.22784389323430856,0.6538661131292164,0.21069019200830302,0.13544369486248053,0.22294294418835497,,,,,0.6448588790711721,0.21302079825497144,0.14212032267385652,0.21802058001692484
2016/17,273,59,home_win,0,0.4947876621437259,0.2732627833716411,0.2319495544846327,0.5448287930933908,0.2451729568920258,0.2099982500145832,0.1545200510739108,0.1256400463030033,-0.0288800047709075,0.109966387171105,-0.0445536639028057,275,2017-04-29,Werder Bremen,Hertha,2,0,,,,,,,3.6,,,,3.5,2.05,3.77,3.5,1.99,4.14,4.67,4.0,1.8,3.66,1.98,0.15452005107391087,0.12564004630300335,0.49523473349805863,0.2679138722202612,0.23685139428168023,0.15544327861997587,0.46400294605045106,0.27177315411526415,0.2642238998342846,0.1785535555431169,,,,,0.4770029968585403,0.27121027535671294,0.25178672778474676,0.16846121079174908
