season,season_game,holdout_game,actual_result,actual_result_idx,p_home_v2,p_draw_v2,p_away_v2,p_home_book,p_draw_book,p_away_book,rps_v2,rps_book,d_book_v2,rps_paper,d_paper_v2
2016/17,215,1,home_win,0,0.2763230977076358,0.3108827582976864,0.41279414399467795,0.37432299641216665,0.3113416668571037,0.31433533673072966,0.3470536321138854,0.24513920836813544,-0.10191442374574997,0.229738903711967,-0.1173147284019184
2016/17,281,67,away_win,2,0.3026330220012364,0.3231523338366502,0.37421464416211336,0.2562599184342098,0.27187686637202874,0.47186321519376134,0.24159702879337552,0.17229880463068953,-0.069298224162686,0.25159478199806884,0.009997753204693316
2016/17,280,66,home_win,0,0.4926339377983212,0.27309549497451513,0.23427056722716377,0.41027762592160283,0.2754391926833233,0.31428318139507394,0.1561515098714874,0.223273198298235,0.0671216884267476,0.2623090712727457,0.10615756140125832
2016/17,279,65,home_win,0,0.4722485789927005,0.2890816247527069,0.23866979625459256,0.6584686263404176,0.20786403670491999,0.13366733695466243,0.16774241700971632,0.06725531808117628,-0.10048709892854003,0.07675580465784525,-0.09098661235187107
2016/17,278,64,home_win,0,0.398670575409089,0.2996900658600201,0.30163935873089065,0.3879631932355136,0.29743844814722703,0.3145983586172593,0.2262916898072096,0.23678059003957147,0.010488900232361875,0.19241831403302667,-0.03387337577418292
2016/17,277,63,draw,1,0.6869577262805272,0.1944871563336621,0.11855511738581073,0.7546580308183715,0.15305077068079298,0.09229119850083564,0.24298311677743753,0.28901320439969136,0.04603008762225383,0.21301544495738584,-0.029967671820051694
2016/17,276,62,away_win,2,0.3814555453474589,0.3240936084380836,0.2944508462144574,0.4538558786346397,0.2730720606826802,0.2730720606826802,0.32165397074191115,0.367204693765673,0.04555072302376184,0.3602370815191664,0.038583110777255236
2016/17,275,61,home_win,0,0.36462070419397546,0.2599764873948543,0.3754028084111699,0.2801999620325255,0.26577232171106757,0.45402771625640703,0.2723170590509767,0.362126630893493,0.08980957184251631,0.21502586430524695,-0.057291194745729745
2016/17,274,60,draw,1,0.5373432595632788,0.2680453139449149,0.19461142649180632,0.6200639276243105,0.22115146854320789,0.1587846038324815,0.1633056929596325,0.20484591237756217,0.04154021941792968,0.2243092575711591,0.06100356461152662
2016/17,273,59,home_win,0,0.49478766214372594,0.2732627833716411,0.23194955448463275,0.5448287930933908,0.24517295689202587,0.2099982500145832,0.15452005107391084,0.12564004630300332,-0.02888000477090752,0.10996638717110509,-0.044553663902805754
2016/17,272,58,away_win,2,0.1974012243194091,0.2551977856701608,0.5474009900104301,0.1192571606065455,0.18053293926073738,0.7002099001327172,0.12190655360317024,0.05204818716718542,-0.06985836643598481,0.194844743781242,0.07293819017807177
2016/17,271,57,away_win,2,0.40989074505671813,0.2855372662465799,0.304571988696702,0.4453834249730786,0.28319177310426963,0.2714248019226518,0.3258152708942057,0.3645941072470986,0.03877883635289292,0.36787795962297637,0.04206268872877067
