season,variant,train_n,temperature,draw_multiplier,rps_raw_v2,rps_calibrated_v2,delta_raw_minus_calibrated,rel_improvement_vs_raw_pct,rps_book,delta_book_minus_calibrated,rps_paper,delta_paper_minus_calibrated
2016/17,wf_temperature,0,1.0,1.0,0.20432305886070018,0.20432305886070018,0.0,0.0,0.1979119576737916,-0.006411101186908574,0.20074469645465295,-0.0035783624060472252
2017/18,wf_temperature,92,1.06,1.0,0.213282092144141,0.21332357887733877,-4.148673319775975e-05,-0.019451578320847512,0.20485265795437757,-0.0084709209229612,0.21516379770250738,0.0018402188251686047
2018/19,wf_temperature,185,1.04,1.0,0.18922248850358625,0.18972445953664763,-0.0005019710330613769,-0.26528085378808625,0.18806206755468907,-0.0016623919819585553,0.19758375096205122,0.007859291425403592
2019/20,wf_temperature,277,0.95,1.0,0.20367034697811928,0.20376021050465346,-8.986352653417295e-05,-0.04412204715486991,0.1883826855664925,-0.015377524938160941,0.2047542781626608,0.0009940676580073582
2020/21,wf_temperature,369,0.96,1.0,0.21086865585523842,0.21064322729423487,0.0002254285610035489,0.10690472706304244,0.1963994948338988,-0.014243732460336084,0.21424853495588644,0.003605307661651569
2021/22,wf_temperature,462,0.94,1.0,0.20559710178389284,0.20587339586149206,-0.0002762940775992151,-0.13438617334675915,0.21016535976709172,0.004291963905599661,0.22006472271258487,0.014191326851092811
2022/23,wf_temperature,554,0.96,1.0,0.20617774231469077,0.2065682889350053,-0.00039054662031454135,-0.18942229938595742,0.20741626921630152,0.0008479802812962067,0.2183508755742203,0.011782586639214998
2023/24,wf_temperature,647,0.99,1.0,0.18076404299443125,0.18062410255299344,0.00013994044143780804,0.07741608293310807,0.17749061500411314,-0.0031334875488802927,0.19631060451649263,0.01568650196349919
2024/25,wf_temperature,739,0.96,1.0,0.21970343523242075,0.22090449990440494,-0.0012010646719841922,-0.5466754175753352,0.22511165700469368,0.004207157100288739,0.23203790618473472,0.011133406280329772
2025/26,wf_temperature,831,1.02,1.0,0.1961388537395391,0.1963203939930707,-0.00018154025353159242,-0.09255700748239674,0.19832896037700296,0.0020085663839322643,0.20851150941858398,0.012191115425513294
2016/17,wf_draw,0,1.0,1.0,0.20432305886070018,0.20432305886070018,0.0,0.0,0.1979119576737916,-0.006411101186908574,0.20074469645465295,-0.0035783624060472252
2017/18,wf_draw,92,1.0,0.94,0.213282092144141,0.2131636370382575,0.00011845510588351371,0.05553917100712749,0.20485265795437757,-0.008310979083879927,0.21516379770250738,0.002000160664249878
2018/19,wf_draw,185,1.0,0.91,0.18922248850358625,0.18890112610412263,0.00032136239946362055,0.16983309013903486,0.18806206755468907,-0.0008390585494335578,0.19758375096205122,0.00868262485792859
2019/20,wf_draw,277,1.0,0.87,0.20367034697811928,0.20386131006096986,-0.00019096308285057595,-0.09376086685367678,0.1883826855664925,-0.015478624494477344,0.2047542781626608,0.0008929681016909552
2020/21,wf_draw,369,1.0,0.9,0.21086865585523842,0.21050164099052393,0.0003670148647144933,0.17404903693531837,0.1963994948338988,-0.01410214615662514,0.21424853495588644,0.0037468939653625133
2021/22,wf_draw,462,1.0,0.88,0.20559710178389284,0.20586627320224446,-0.00026917141835161584,-0.13092179608375373,0.21016535976709172,0.00429908656484726,0.22006472271258487,0.01419844951034041
