season,source,label,n,rps_v2,rps_odds,delta_odds_minus_v2,rel_pct_vs_odds,frac_v2_better
2016/17,current_closing,Current closing baseline,92,0.20432305886070018,0.1979119576737916,-0.0064111011869085474,-3.239370304989679,0.44565217391304346
2017/18,current_closing,Current closing baseline,93,0.213282092144141,0.20485265795437757,-0.008429434189763451,-4.114876650338975,0.5376344086021505
2018/19,current_closing,Current closing baseline,92,0.18922248850358622,0.18806206755468913,-0.0011604209488971404,-0.6170414714597806,0.4782608695652174
2019/20,current_closing,Current closing baseline,92,0.20367034697811928,0.1883826855664925,-0.015287661411626755,-8.115215772434004,0.3804347826086957
2020/21,current_closing,Current closing baseline,93,0.2108686558552384,0.19639949483389887,-0.014469161021339548,-7.367208878809269,0.3870967741935484
2021/22,current_closing,Current closing baseline,92,0.20559710178389284,0.21016535976709172,0.004568257983198932,2.1736493531862444,0.5
2022/23,current_closing,Current closing baseline,93,0.20617774231469077,0.20741626921630152,0.0012385269016107394,0.59712138603706,0.45161290322580644
2023/24,current_closing,Current closing baseline,92,0.18076404299443125,0.1774906150041132,-0.0032734279903180873,-1.8442822964145054,0.42391304347826086
2024/25,current_closing,Current closing baseline,92,0.21970343523242075,0.22511165700469377,0.005408221772272986,2.4024618912383646,0.4782608695652174
2025/26,current_closing,Current closing baseline,94,0.1961388537395391,0.19832896037700298,0.002190106637463932,1.104279795195197,0.5106382978723404
2016/17,pinnacle_open,Pinnacle opening,92,0.20432305886070018,0.20184201034211688,-0.002481048518583325,-1.2292032339442187,0.4673913043478261
2017/18,pinnacle_open,Pinnacle opening,93,0.213282092144141,0.2052894510787569,-0.007992641065384129,-3.893352056515483,0.4946236559139785
2018/19,pinnacle_open,Pinnacle opening,91,0.19117804634242105,0.18897784552050564,-0.002200200821915436,-1.1642638933973328,0.4835164835164835
2019/20,pinnacle_open,Pinnacle opening,92,0.20367034697811928,0.18732746489882532,-0.01634288207929395,-8.72423170202013,0.34782608695652173
2020/21,pinnacle_open,Pinnacle opening,93,0.2108686558552384,0.19846415533409276,-0.012404500521145655,-6.2502473054965675,0.44086021505376344
2021/22,pinnacle_open,Pinnacle opening,92,0.20559710178389284,0.21187828795860725,0.00628118617471442,2.9645256412216803,0.5217391304347826
2022/23,pinnacle_open,Pinnacle opening,93,0.20617774231469077,0.2070743197538444,0.0008965774391536265,0.43297374595720783,0.5161290322580645
2023/24,pinnacle_open,Pinnacle opening,92,0.18076404299443125,0.17916785798329043,-0.0015961850111409044,-0.8908880360057483,0.4673913043478261
2024/25,pinnacle_open,Pinnacle opening,92,0.21970343523242075,0.22563290956618684,0.005929474333766066,2.6279297400216888,0.5217391304347826
2016/17,bet365_open,Bet365 opening,92,0.20432305886070018,0.2019330114901683,-0.002390047370531885,-1.1835842752477603,0.4673913043478261
2017/18,bet365_open,Bet365 opening,93,0.213282092144141,0.20594820036967482,-0.007333891774466189,-3.561037076945529,0.5161290322580645
2018/19,bet365_open,Bet365 opening,92,0.18922248850358622,0.1866046106066405,-0.0026178778969457228,-1.4029009725082127,0.4673913043478261
2019/20,bet365_open,Bet365 opening,92,0.20367034697811928,0.18761779751926735,-0.01605254945885198,-8.555984384798819,0.31521739130434784
2020/21,bet365_open,Bet365 opening,93,0.2108686558552384,0.1993490231046654,-0.01151963275057305,-5.778625132526899,0.41935483870967744
2021/22,bet365_open,Bet365 opening,92,0.20559710178389284,0.210938386679264,0.005341284895371155,2.5321540471875723,0.5108695652173914
2022/23,bet365_open,Bet365 opening,93,0.20617774231469077,0.2068219417780126,0.000644199463321835,0.31147539655791023,0.4731182795698925
2023/24,bet365_open,Bet365 opening,92,0.18076404299443125,0.178945946893462,-0.001818096100969281,-1.0160029509088073,0.43478260869565216
2024/25,bet365_open,Bet365 opening,92,0.21970343523242075,0.2246786486140063,0.004975213381585568,2.2143685714136954,0.5217391304347826
2025/26,bet365_open,Bet365 opening,94,0.1961388537395391,0.1999669340084342,0.003828080268895123,1.9143566349492873,0.48936170212765956
2019/20,market_avg_open,Market average opening,92,0.20367034697811928,0.18760263038318414,-0.016067716594935152,-8.564760825643194,0.32608695652173914
2020/21,market_avg_open,Market average opening,93,0.2108686558552384,0.1989744984354818,-0.011894157419756602,-5.977729564984091,0.40860215053763443
2021/22,market_avg_open,Market average opening,92,0.20559710178389284,0.2115262010362632,0.005929099252370379,2.8030093781875833,0.5652173913043478
2022/23,market_avg_open,Market average opening,93,0.20617774231469077,0.20738320132309127,0.0012054590084004731,0.5812712894341121,0.5053763440860215
2023/24,market_avg_open,Market average opening,92,0.18076404299443125,0.17944660852227556,-0.0013174344721557515,-0.7341651553098102,0.43478260869565216
2024/25,market_avg_open,Market average opening,92,0.21970343523242075,0.22537799424564953,0.005674559013228797,2.51779639455121,0.5108695652173914
2025/26,market_avg_open,Market average opening,94,0.1961388537395391,0.19968727915136578,0.003548425411826668,1.776991216920188,0.4787234042553192
2016/17,betbrain_avg_open,BetBrain average opening,92,0.20432305886070018,0.20153961074782234,-0.0027834481128778342,-1.3810923334374405,0.4673913043478261
2017/18,betbrain_avg_open,BetBrain average opening,93,0.213282092144141,0.20598201754941403,-0.007300074594727004,-3.544034902452469,0.4946236559139785
2018/19,betbrain_avg_open,BetBrain average opening,92,0.18922248850358622,0.186995544810402,-0.002226943693184239,-1.190907353136234,0.4673913043478261
