season,n,rps_model,rps_book,d_rps,rel,rhat,rps_paper,d_paper
2016/17,92,0.2043230588607002,0.19791195767379163,-0.006411101186908574,-3.2393703049896923,1.3731921870748696,0.200744696454653,-0.0035783624060471975
2017/18,93,0.213282092144141,0.20485265795437754,-0.008429434189763468,-4.114876650338985,1.4462166091964892,0.21516379770250738,0.0018817055583663644
2018/19,92,0.18922248850358622,0.18806206755468907,-0.0011604209488971506,-0.6170414714597862,1.4189092974785633,0.19758375096205127,0.008361262458465052
2019/20,92,0.20367034697811928,0.18838268556649257,-0.015287661411626713,-8.115215772433979,1.320484459666015,0.2047542781626608,0.0010839311845415311
2020/21,93,0.21086865585523834,0.19639949483389887,-0.014469161021339466,-7.367208878809227,1.3020438557568401,0.21424853495588644,0.0033798791006481033
2021/22,92,0.20559710178389282,0.2101653597670918,0.004568257983198987,2.1736493531862693,1.2681186594716913,0.22006472271258487,0.014467620928692054
2022/23,93,0.20617774231469077,0.20741626921630155,0.0012385269016107758,0.5971213860370775,1.3765762531955685,0.2183508755742203,0.01217313325952954
2023/24,92,0.18076404299443125,0.17749061500411314,-0.0032734279903181007,-1.8442822964145134,1.2937791627013937,0.19631060451649268,0.015546561522061436
2024/25,92,0.21970343523242075,0.22511165700469374,0.005408221772272986,2.402461891238365,1.3515902207547956,0.2320379061847347,0.012334470952313936
2025/26,94,0.1961388537395391,0.19832896037700298,0.0021901066374638845,1.104279795195173,1.240346766291746,0.20851150941858404,0.012372655679044942
