candidate,config,strategy,phase,n,rps
carry75:bookmaker,carry75,bookmaker,full_season,918,0.1969281503228868
carry75:midseason_reset,carry75,midseason_reset,full_season,918,0.21027733083436217
carry75:soft_blend_h10,carry75,soft_blend_h10,full_season,918,0.2104114175601623
carry75:soft_blend_h17,carry75,soft_blend_h17,full_season,918,0.2105956009658576
carry75:soft_blend_h6,carry75,soft_blend_h6,full_season,918,0.2107092012329293
carry75:soft_blend_h3,carry75,soft_blend_h3,full_season,918,0.2116062501001679
level_all10:updating_prior,level_all10,updating_prior,full_season,918,0.21190331740258644
delta05_early2:updating_prior,delta05_early2,updating_prior,full_season,918,0.21315866143221118
carry75:updating_prior,carry75,updating_prior,full_season,918,0.21375506674884812
carry75:current_only,carry75,current_only,full_season,918,0.21454822051166272
carry75:fixed_preseason,carry75,fixed_preseason,full_season,918,0.21646975303030933
carry75:bookmaker,carry75,bookmaker,matchdays_18_34,459,0.20266475483068971
carry75:soft_blend_h3,carry75,soft_blend_h3,matchdays_18_34,459,0.21103935511539787
carry75:current_only,carry75,current_only,matchdays_18_34,459,0.21104713761582777
carry75:midseason_reset,carry75,midseason_reset,matchdays_18_34,459,0.21104713761582777
carry75:soft_blend_h6,carry75,soft_blend_h6,matchdays_18_34,459,0.21104715234676735
carry75:soft_blend_h10,carry75,soft_blend_h10,matchdays_18_34,459,0.21127558407794683
carry75:soft_blend_h17,carry75,soft_blend_h17,matchdays_18_34,459,0.2120047718264175
delta05_early2:updating_prior,delta05_early2,updating_prior,matchdays_18_34,459,0.21597792599852564
level_all10:updating_prior,level_all10,updating_prior,matchdays_18_34,459,0.21774365229702786
carry75:updating_prior,carry75,updating_prior,matchdays_18_34,459,0.21800260944479966
carry75:fixed_preseason,carry75,fixed_preseason,matchdays_18_34,459,0.22036297986916256
carry75:bookmaker,carry75,bookmaker,matchdays_1_5,135,0.18804200551724848
level_all10:updating_prior,level_all10,updating_prior,matchdays_1_5,135,0.20646256110895958
carry75:updating_prior,carry75,updating_prior,matchdays_1_5,135,0.21281921330252696
carry75:midseason_reset,carry75,midseason_reset,matchdays_1_5,135,0.21281921330252696
carry75:soft_blend_h17,carry75,soft_blend_h17,matchdays_1_5,135,0.2129624929128794
carry75:soft_blend_h10,carry75,soft_blend_h10,matchdays_1_5,135,0.21319150801702896
carry75:soft_blend_h6,carry75,soft_blend_h6,matchdays_1_5,135,0.21371088841982014
carry75:soft_blend_h3,carry75,soft_blend_h3,matchdays_1_5,135,0.21538047817491424
delta05_early2:updating_prior,delta05_early2,updating_prior,matchdays_1_5,135,0.21573481499296365
carry75:fixed_preseason,carry75,fixed_preseason,matchdays_1_5,135,0.2164796739712581
carry75:current_only,carry75,current_only,matchdays_1_5,135,0.2310564826771331
carry75:bookmaker,carry75,bookmaker,matchdays_6_17,324,0.19250385427251532
level_all10:updating_prior,level_all10,updating_prior,matchdays_6_17,324,0.20589649142447222
carry75:soft_blend_h17,carry75,soft_blend_h17,matchdays_6_17,324,0.20761307060213874
carry75:soft_blend_h10,carry75,soft_blend_h10,matchdays_6_17,324,0.20802881063627307
delta05_early2:updating_prior,delta05_early2,updating_prior,matchdays_6_17,324,0.20809130597961872
carry75:updating_prior,carry75,updating_prior,matchdays_6_17,324,0.20812765353221727
carry75:midseason_reset,carry75,midseason_reset,matchdays_6_17,324,0.20812765353221727
carry75:soft_blend_h6,carry75,soft_blend_h6,matchdays_6_17,324,0.2089797341604542
carry75:soft_blend_h3,carry75,soft_blend_h3,matchdays_6_17,324,0.21083675629744775
carry75:fixed_preseason,carry75,fixed_preseason,matchdays_6_17,324,0.21095021461653865
carry75:current_only,carry75,current_only,matchdays_6_17,324,0.2126296453784829
