season,strategy,n,rps,log_loss,brier
2022/23,standalone_original,93,0.2084382086248563,1.0349950676425876,0.6207229647282032
2022/23,fixed_preseason,93,0.2043009650961309,1.017391085614233,0.6078803978004886
2022/23,updating_prior,93,0.2113218076652175,1.0483125665993538,0.6291220874811723
2022/23,current_only,93,0.21108957154952385,1.0393114317647423,0.6248863335540414
2022/23,midseason_reset,93,0.21108957154952385,1.0393114317647423,0.6248863335540414
2022/23,soft_blend_h10,93,0.21008143266830023,1.0374045326810235,0.6232945966243942
2022/23,cosine_taper_k18,93,0.21108957154952385,1.0393114317647423,0.6248863335540414
2022/23,cosine_taper_k25,93,0.21108444817542016,1.0393024867333565,0.6248808933041247
2022/23,cosine_taper_k30,93,0.21063986921143854,1.0382313544733635,0.6241409427061672
2022/23,bookmaker,93,0.20741626921630146,1.0291733746414522,0.6177926081902375
2023/24,standalone_original,92,0.18856907164952738,0.9365769321904215,0.5565087617446738
2023/24,fixed_preseason,92,0.20435696863396818,0.9906752536718458,0.588945720873556
2023/24,updating_prior,92,0.19126406907002982,0.9451338693258645,0.5611005637768585
2023/24,current_only,92,0.1855618541028828,0.9285275119265473,0.5492884673202856
2023/24,midseason_reset,92,0.1855618541028828,0.9285275119265473,0.5492884673202856
2023/24,soft_blend_h10,92,0.18573873999265694,0.9290532009626498,0.5495794288539292
2023/24,cosine_taper_k18,92,0.1855618541028828,0.9285275119265473,0.5492884673202856
2023/24,cosine_taper_k25,92,0.1855571278334315,0.9285135822305276,0.5492780727890895
2023/24,cosine_taper_k30,92,0.18549207345088725,0.9283253574271427,0.5491356670684135
2023/24,bookmaker,92,0.17749061500411314,0.9031495118482774,0.5309334464071127
2024/25,standalone_original,92,0.24249211643878216,1.147397425984572,0.7002756103949773
2024/25,fixed_preseason,92,0.23786010254227916,1.145123697356435,0.6960039695119081
2024/25,updating_prior,92,0.25529943313415365,1.1895330079447652,0.7231524144451431
2024/25,current_only,92,0.22942748164739146,1.1099646504126843,0.673066207246846
2024/25,midseason_reset,92,0.22942748164739146,1.1099646504126843,0.673066207246846
2024/25,soft_blend_h10,92,0.23234909930021935,1.1185015981533304,0.6786176920428957
2024/25,cosine_taper_k18,92,0.22942748164739146,1.1099646504126843,0.673066207246846
2024/25,cosine_taper_k25,92,0.22942660789285424,1.1099650011296716,0.6730661126258874
2024/25,cosine_taper_k30,92,0.2299995067457434,1.1120222655765857,0.6743656173791316
2024/25,bookmaker,92,0.22511165700469368,1.1006581207769803,0.6668977485380614
POOLED,standalone_original,277,0.2131493960513939,1.0396396470861375,0.6258173211428548
POOLED,fixed_preseason,277,0.21546556065759903,1.0509417850423304,0.6308601029274662
POOLED,updating_prior,277,0.21926631882906178,1.060947369684613,0.6377603903688562
POOLED,current_only,277,0.20870162109433557,1.0259828234271853,0.6157799966812345
POOLED,midseason_reset,277,0.20870162109433557,1.0259828234271853,0.6157799966812345
POOLED,soft_blend_h10,277,0.20939225434330883,1.028352574216626,0.6171860382981103
POOLED,cosine_taper_k18,277,0.20870162109433557,1.0259828234271853,0.6157799966812345
POOLED,cosine_taper_k25,277,0.20869804103657894,1.0259753102358862,0.6157746864096082
POOLED,cosine_taper_k30,277,0.2087174484287141,1.0262364522829088,0.6159105626023383
POOLED,bookmaker,277,0.20335423127049201,1.011059299794869,0.605253366413892
