season,season_game,strategy,rps,log_loss,brier
2022/23,214,standalone_original,0.15675477898330953,0.6973658822413401,0.37818528592663864
2022/23,215,standalone_original,0.21852320850722726,0.8923568014329236,0.5227126885795738
2022/23,216,standalone_original,0.14029364925729218,1.2886834873534518,0.805294241876997
2022/23,217,standalone_original,0.1536580822965995,1.4132075144830054,0.8798180681316338
2022/23,218,standalone_original,0.44028637556765826,1.4971774203189392,0.9425527762504815
2022/23,219,standalone_original,0.15840743805569166,0.7316162708305757,0.4072467830607045
2022/23,220,standalone_original,0.15054214399214938,1.3067150418196252,0.8329513114241955
2022/23,221,standalone_original,0.2558132689086052,0.9807317433658033,0.5883804611146959
2022/23,222,standalone_original,0.3296389450638347,1.1743110703030493,0.7292593985970353
2022/23,223,standalone_original,0.43004542741337903,1.4633976644660587,0.9223386423729367
2022/23,224,standalone_original,0.1718927043173574,1.3563366297073038,0.8949390932313303
2022/23,225,standalone_original,0.24276251918259859,1.003936810836052,0.6035398996840373
2022/23,226,standalone_original,0.13301952505985148,1.1719763152714484,0.7424783641527174
2022/23,227,standalone_original,0.2523865290976887,0.9700461218452158,0.5807622683334399
2022/23,228,standalone_original,0.658160052499328,2.266633562733471,1.3487820768240406
2022/23,229,standalone_original,0.1658527736044081,1.3339429239536482,0.8742313356520084
2022/23,230,standalone_original,0.3900770631271159,1.4088623773569653,0.869038647122776
2022/23,231,standalone_original,0.04140283682933431,0.3084978102772168,0.10663177705097604
2022/23,232,standalone_original,0.2101823537069116,1.5056264042688035,1.025838142204357
2022/23,233,standalone_original,0.14543701776794182,1.3011394195601735,0.8205356652795932
2022/23,234,standalone_original,0.27650948539803943,1.025882536153907,0.6234528053461276
2022/23,235,standalone_original,0.271155525854542,1.068226210568154,0.6463216422026878
2022/23,236,standalone_original,0.033818560969230325,0.2734499274159026,0.08648430610233594
2022/23,237,standalone_original,0.11396414968705533,0.5720388697991592,0.2856656087066918
2022/23,238,standalone_original,0.14640889160815257,0.6749478214266907,0.36196848398048376
2022/23,239,standalone_original,0.16301860520485217,1.3547944919546142,0.8766007501568318
2022/23,240,standalone_original,0.10907128213600381,0.5598710759322515,0.27738408454265484
2022/23,241,standalone_original,0.38976069948245995,1.3074885295317604,0.8334194203166043
2022/23,242,standalone_original,0.26459813616094646,1.0312088024153119,0.6216189639133697
2022/23,243,standalone_original,0.15319109653438504,0.6857624362349799,0.36948009904978807
2022/23,244,standalone_original,0.26144947339581204,1.0184978351482248,0.6129654385045613
2022/23,245,standalone_original,0.35302142706257217,2.351477200552505,1.5246545261075295
2022/23,246,standalone_original,0.14134273432098832,1.2589029459263863,0.7953910441622323
2022/23,247,standalone_original,0.016085266442107376,0.18405064460325127,0.043315552762571076
2022/23,248,standalone_original,0.14047258501377013,1.383705586477407,0.8424735418182776
2022/23,249,standalone_original,0.13232683445402924,1.2441175700574194,0.7713198732542716
2022/23,250,standalone_original,0.20487503553663222,0.8176540272147994,0.47017755566006336
2022/23,251,standalone_original,0.12926139162634745,1.213178700199613,0.7523790743437869
2022/23,252,standalone_original,0.135378157233428,1.3060253559467556,0.8023509562330653
2022/23,253,standalone_original,0.14188327077999377,1.3736015963409578,0.8414866170280435
2022/23,254,standalone_original,0.2437467191400762,0.9554681133328832,0.5690012113725024
2022/23,255,standalone_original,0.26631829985321426,1.01352973809005,0.611594609723462
2022/23,256,standalone_original,0.20954677362827331,0.8854695870603642,0.5186472691305757
2022/23,257,standalone_original,0.48823569796863997,1.6111220924620353,1.0251973017167686
2022/23,258,standalone_original,0.11417539527049174,0.5641405730602645,0.27901821949848593
2022/23,259,standalone_original,0.12954238416424582,0.6274021987621974,0.3273675007615966
2022/23,260,standalone_original,0.2906358598253207,1.1010935847639638,0.6707228273256104
2022/23,261,standalone_original,0.4991368806133982,1.7495988927904083,1.0681014820533277
2022/23,262,standalone_original,0.15893911355203347,1.5704235074365294,0.9452101946946281
2022/23,263,standalone_original,0.45714751402309006,1.602630996492667,0.9887265735893951
2022/23,264,standalone_original,0.03527422731049182,0.2877517581216147,0.09630384294708684
2022/23,265,standalone_original,0.11436582735639922,1.1049615778949207,0.6759935168003374
2022/23,266,standalone_original,0.17101783565907402,1.4584666717573116,0.9309497239499875
2022/23,267,standalone_original,0.19949909867228038,0.8223866038857588,0.4716695827463424
2022/23,268,standalone_original,0.1535097480233883,0.6981803326935428,0.3794082615314525
2022/23,269,standalone_original,0.026878730880243354,0.2433724228613339,0.07112947608120102
2022/23,270,standalone_original,0.19308100078607054,0.8227859996826463,0.4720558789585437
2022/23,271,standalone_original,0.3660876694619576,1.3325576665642955,0.8222314746332663
2022/23,272,standalone_original,0.44323823891677083,1.5271448044148914,0.9539459003579733
2022/23,273,standalone_original,0.42599503619057655,1.4639916693931552,0.9184004606941709
2022/23,274,standalone_original,0.23324472105736357,0.9686302079401053,0.5785444526102408
2022/23,275,standalone_original,0.09955970885128565,0.5298613002793761,0.25589654980847903
2022/23,276,standalone_original,0.16779671782272046,0.7219346216672604,0.3967747042452773
2022/23,277,standalone_original,0.07160604405925536,0.4254092539119771,0.1809808282163951
2022/23,278,standalone_original,0.2151891697121659,0.886075492090891,0.5181503832847503
2022/23,279,standalone_original,0.1266886510611746,0.603391316085865,0.30797870512902886
2022/23,280,standalone_original,0.09707540064968222,0.5313554411761724,0.2599295334188063
2022/23,281,standalone_original,0.030169992171898044,0.2599569238894797,0.07988983463418176
2022/23,282,standalone_original,0.1179546665552675,0.5843751631771811,0.29466219952870926
2022/23,283,standalone_original,0.23504535948634037,0.9399879182549095,0.557176598851908
2022/23,284,standalone_original,0.038370382834336164,0.2942911380685373,0.09822086052256804
2022/23,285,standalone_original,0.08828878104814872,0.4907839313032798,0.22772276808053374
2022/23,286,standalone_original,0.19679798385195688,0.8486382454650464,0.49238252954733214
2022/23,287,standalone_original,0.14159640723776476,1.394394668011695,0.8487222277777482
2022/23,288,standalone_original,0.021635239059579696,0.21645802922928914,0.0579669976237475
2022/23,289,standalone_original,0.21668390824197314,0.8775118384163522,0.5121651487536899
2022/23,290,standalone_original,0.15571372823414628,1.4472548279980952,0.8963233866619466
2022/23,291,standalone_original,0.15591510059565888,0.7098956252500586,0.3886131269806668
2022/23,292,standalone_original,0.13689781745002638,1.2343201072123984,0.7764304572872351
2022/23,293,standalone_original,0.13595311812235542,1.2548166335954203,0.782948031979636
2022/23,294,standalone_original,0.44606557894597015,1.6115642841350624,0.9815176038755516
2022/23,295,standalone_original,0.10770938145516085,0.5417394228375291,0.26254426666327246
2022/23,296,standalone_original,0.20258332402481577,1.5586260277644888,1.0285953432556296
2022/23,297,standalone_original,0.3736177579453296,1.3607949795985652,0.8388378555024141
2022/23,298,standalone_original,0.3718761815680941,1.28442697782293,0.8079402316088294
2022/23,299,standalone_original,0.1769969963363049,1.388108406002923,0.9171738481591174
2022/23,300,standalone_original,0.013899370629566964,0.16754489569832662,0.03607948638105338
2022/23,301,standalone_original,0.28431647181625386,1.0834248746747666,0.6584387265752565
2022/23,302,standalone_original,0.0496972168103747,0.34769466473840205,0.13145026284415998
2022/23,303,standalone_original,0.4663524329921558,1.6388916324345901,1.0074891394963572
2022/23,304,standalone_original,0.3610549746680325,1.275820956239545,0.7954057674964092
2022/23,305,standalone_original,0.23313402808446004,1.6810304095985853,1.1285677389098296
2022/23,306,standalone_original,0.2061654352963441,0.8756088483455916,0.5116135443832697
2022/23,214,fixed_preseason,0.1880621617687816,0.7992955944819784,0.45437653712728476
2022/23,215,fixed_preseason,0.1786161235957346,0.7536167999949176,0.4206310694681684
2022/23,216,fixed_preseason,0.13120661580144177,1.2860793234836525,0.7860794435082723
2022/23,217,fixed_preseason,0.15839232318278768,1.425948423629102,0.8939584145275481
