candidate,rps
carry_s2_cos_w2_end12,0.21034834898997043
carry_s1_cos_w4_end12,0.21035441455689177
carry_s0p5_hard_end10,0.21035926179767295
carry_s0p5_cos_w6_end12,0.21038250270330006
carry_s1_hard_end10,0.21039296875323954
carry_s0p5_cos_w2_end10,0.21041587194997208
carry_s2_cos_w4_end12,0.210431977059085
carry_s1_cos_w6_end12,0.21043732998905992
carry_s0p5_hard_end8,0.21043918041197465
carry_s0p5_cos_w4_end10,0.21045222397104804
carry_s1_cos_w2_end10,0.21046891256969408
carry_s2_hard_end10,0.2104902624422158
carry_s2_cos_w6_end12,0.21049192808834633
carry_s0p5_cos_w6_end10,0.2105086060501718
carry_s2_cos_w2_end10,0.21051025654501102
carry_s0p5_cos_w2_end8,0.21052827522005374
carry_s1_cos_w4_end10,0.21053934304945204
carry_s2_cos_w4_end10,0.21057104887272246
carry_s1_hard_end8,0.21057628944112594
carry_s1_cos_w6_end10,0.21058618553947095
carry_s0p5_cos_w4_end8,0.21058797082517333
carry_s2_hard_end8,0.2105987126488358
carry_s0p5_hard_end6,0.21061750298630624
carry_s1_cos_w2_end8,0.21061862239522694
carry_s1_hard_end6,0.2106464145844634
carry_s0p5_cos_w6_end8,0.2106491176738988
carry_s1_cos_w4_end8,0.21065247620042224
carry_s0p5_cos_w2_end6,0.21065250313832556
carry_s2_cos_w6_end10,0.21066514666810832
carry_s2_cos_w2_end8,0.2106765699815906
carry_s1_cos_w2_end6,0.21072191192211367
carry_s1_cos_w6_end8,0.21073154813532663
carry_s0p5_cos_w4_end6,0.21074184849660907
carry_s2_cos_w4_end8,0.21077769305446087
carry_s0p5_hard_end4,0.2107859968751372
carry_s0p5_cos_w6_end6,0.21081559986276335
carry_s2_hard_end6,0.2108240607742579
carry_s1_cos_w4_end6,0.21083542738793368
carry_s2_cos_w6_end8,0.21087081590776557
carry_s1_hard_end4,0.21089107289318637
carry_s2_cos_w2_end6,0.21089353199122735
carry_s0p5_cos_w2_end4,0.2108977929554446
carry_s1_cos_w6_end6,0.21090296048861165
carry_s1_cos_w2_end4,0.21097936664954095
carry_s2_cos_w4_end6,0.21098080332876978
carry_s0p5_cos_w4_end4,0.21099295322398545
carry_s0p5_cos_w6_end4,0.21099295322398545
carry_s2_hard_end4,0.21101907914895138
carry_s2_cos_w6_end6,0.21102937649285938
carry_s1_cos_w4_end4,0.21105916466187366
carry_s1_cos_w6_end4,0.21105916466187366
carry_s2_cos_w2_end4,0.21107544368242848
carry_s2_cos_w6_end4,0.21113659967801196
carry_s2_cos_w4_end4,0.21113659967801196
fresh_always,0.21142116849843207
