summer_variance_scale,matchday,rps_fresh,rps_carry,n,fresh_minus_carry
0.5,1,0.3381997931625952,0.3308607675836767,99,0.007339025578918468
0.5,2,0.2289401417544472,0.2232911500146419,99,0.00564899173980532
0.5,3,0.2120608779965628,0.2034530601232599,99,0.00860781787330292
0.5,4,0.22041291896400203,0.21814214258212547,99,0.0022707763818765603
0.5,5,0.19059017785473936,0.18713216201636518,99,0.0034580158383741844
0.5,6,0.20498108367137355,0.20568513530990565,99,-0.0007040516385320994
0.5,7,0.21622286475230304,0.2094558455864957,99,0.006767019165807353
0.5,8,0.2090922573310597,0.2110687733650028,99,-0.001976516033943082
0.5,9,0.1993056247436686,0.19461187582346784,99,0.004693748920200774
0.5,10,0.209991709241547,0.21068508278836032,99,-0.000693373546813314
0.5,11,0.2097924471790942,0.20335807255749855,99,0.0064343746215956565
0.5,12,0.19121450648812835,0.190922548265661,99,0.0002919582224673589
0.5,13,0.22135202129252687,0.2176649416782418,98,0.003687079614285077
0.5,14,0.21042986908764855,0.21193001123633923,99,-0.0015001421486906807
0.5,15,0.22733713233748312,0.22502561519903455,99,0.002311517138448571
0.5,16,0.18555533006551767,0.18417248427253521,97,0.0013828457929824511
0.5,17,0.2038202874258407,0.20183036580317082,99,0.0019899216226698935
0.5,18,0.24089813825700912,0.2385965571574044,100,0.0023015810996047104
0.5,19,0.19263953730627636,0.18524971536749357,99,0.007389821938782792
0.5,20,0.21424074773050641,0.21572479672884903,99,-0.0014840489983426186
0.5,21,0.19801970331038335,0.19274574120113117,98,0.005273962109252184
0.5,22,0.19289118608155711,0.18927524093514161,99,0.0036159451464155
0.5,23,0.1957057902414458,0.19538990075185375,99,0.0003158894895920472
0.5,24,0.21394299820019064,0.2080552328745419,100,0.005887765325648747
0.5,25,0.21327721601408886,0.21472529384390082,99,-0.0014480778298119612
0.5,26,0.19434774405159574,0.19356064436615963,99,0.0007870996854361101
0.5,27,0.21480281855936945,0.21669791341948327,99,-0.0018950948601138273
0.5,28,0.19649560846216596,0.19665167366163,100,-0.0001560651994640394
0.5,29,0.20269420076179645,0.2069584737115762,99,-0.0042642729497797405
0.5,30,0.2001236480553134,0.20020688083884527,98,-8.323278353186692e-05
0.5,31,0.21596288495245627,0.2192314608088019,100,-0.003268575856345629
0.5,32,0.1844021436188663,0.1892589111933558,100,-0.004856767574489496
0.5,33,0.22123617754800443,0.22445443808496912,99,-0.0032182605369646955
0.5,34,0.2167230137531728,0.2177869762950393,99,-0.0010639625418664977
1.0,1,0.3381997931625952,0.3319182845222831,99,0.006281508640312072
1.0,2,0.2289401417544472,0.22395659485970573,99,0.004983546894741481
1.0,3,0.2120608779965628,0.20530268295326312,99,0.006758195043299692
1.0,4,0.22041291896400203,0.21805275852977993,99,0.0023601604342221028
1.0,5,0.19059017785473936,0.18463195579238023,99,0.005958222062359131
1.0,6,0.20498108367137355,0.2060525851332184,99,-0.0010715014618448426
1.0,7,0.21622286475230304,0.2127671084169848,99,0.0034557563353182497
1.0,8,0.2090922573310597,0.20869083365249597,99,0.00040142367856374483
1.0,9,0.1993056247436686,0.19347414503409427,99,0.005831479709574344
1.0,10,0.209991709241547,0.2086311564869015,99,0.0013605527546454999
1.0,11,0.2097924471790942,0.20388975729786443,99,0.005902689881229772
1.0,12,0.19121450648812835,0.19175720961402914,99,-0.0005427031259007953
1.0,13,0.22135202129252687,0.2195832827738384,98,0.001768738518688473
1.0,14,0.21042986908764855,0.20911252983951772,99,0.0013173392481308221
1.0,15,0.22733713233748312,0.23097041096687285,99,-0.0036332786293897246
1.0,16,0.18555533006551767,0.18416155355855393,97,0.0013937765069637342
1.0,17,0.2038202874258407,0.1971208298539694,99,0.00669945757187132
1.0,18,0.24089813825700912,0.2424257431052167,100,-0.0015276048482075755
1.0,19,0.19263953730627636,0.18637666745443762,99,0.006262869851838743
1.0,20,0.21424074773050641,0.2154360194972591,99,-0.0011952717667526869
1.0,21,0.19801970331038335,0.19134605292131412,98,0.0066736503890692245
1.0,22,0.19289118608155711,0.1913561051375107,99,0.0015350809440464186
1.0,23,0.1957057902414458,0.1970460436968917,99,-0.001340253455445889
1.0,24,0.21394299820019064,0.2086915957056828,100,0.00525140249450784
1.0,25,0.21327721601408886,0.21539235413748758,99,-0.0021151381233987243
1.0,26,0.19434774405159574,0.19025904530675078,99,0.004088698744844965
1.0,27,0.21480281855936945,0.21346542546078967,99,0.0013373930985797755
1.0,28,0.19649560846216596,0.1955711149463732,100,0.0009244935157927681
1.0,29,0.20269420076179645,0.20000331990776377,99,0.0026908808540326845
1.0,30,0.2001236480553134,0.19736438324544392,98,0.0027592648098694883
1.0,31,0.21596288495245627,0.21553300106237988,100,0.0004298838900763935
1.0,32,0.1844021436188663,0.18878583535650187,100,-0.004383691737635559
1.0,33,0.22123617754800443,0.2253590693517969,99,-0.004122891803792467
1.0,34,0.2167230137531728,0.21931016587935728,99,-0.0025871521261844888
2.0,1,0.3381997931625952,0.3333255671548627,99,0.004874226007732463
2.0,2,0.2289401417544472,0.22443089423299642,99,0.004509247521450793
2.0,3,0.2120608779965628,0.2077733136434024,99,0.004287564353160411
2.0,4,0.22041291896400203,0.21915843988732872,99,0.0012544790766733094
2.0,5,0.19059017785473936,0.18521403219183388,99,0.005376145662905479
2.0,6,0.20498108367137355,0.2031237396169013,99,0.001857344054472243
2.0,7,0.21622286475230304,0.21041837254242463,99,0.005804492209878415
2.0,8,0.2090922573310597,0.20739411573581257,99,0.0016981415952471435
2.0,9,0.1993056247436686,0.19731645931383524,99,0.0019891654298333783
2.0,10,0.209991709241547,0.20835935451073215,99,0.0016323547308148556
2.0,11,0.2097924471790942,0.20393053760379437,99,0.005861909575299834
2.0,12,0.19121450648812835,0.1908164669482504,99,0.00039803953987793683
2.0,13,0.22135202129252687,0.21832026193078666,98,0.003031759361740216
2.0,14,0.21042986908764855,0.21267361581280508,99,-0.002243746725156537
2.0,15,0.22733713233748312,0.22483320560086742,99,0.0025039267366157025
2.0,16,0.18555533006551767,0.1833462249915109,97,0.002209105074006762
2.0,17,0.2038202874258407,0.2019535458281772,99,0.0018667415976635071
2.0,18,0.24089813825700912,0.2407624282564604,100,0.00013571000054871107
2.0,19,0.19263953730627636,0.19038185387412493,99,0.002257683432151436
2.0,20,0.21424074773050641,0.21226723863095917,99,0.0019735090995472437
2.0,21,0.19801970331038335,0.19659098920638282,98,0.001428714104000528
2.0,22,0.19289118608155711,0.19059950308934917,99,0.002291682992207944
2.0,23,0.1957057902414458,0.1963762260169466,99,-0.0006704357755007995
2.0,24,0.21394299820019064,0.2104042653660742,100,0.0035387328341164315
2.0,25,0.21327721601408886,0.21228390263693708,99,0.0009933133771517777
2.0,26,0.19434774405159574,0.19590437817064518,99,-0.0015566341190494382
2.0,27,0.21480281855936945,0.2184430061510985,99,-0.003640187591729044
2.0,28,0.19649560846216596,0.19519644194964475,100,0.0012991665125212104
2.0,29,0.20269420076179645,0.2049941664852533,99,-0.002299965723456837
2.0,30,0.2001236480553134,0.1976021526582555,98,0.002521495397057899
2.0,31,0.21596288495245627,0.212955626765172,100,0.003007258187284284
2.0,32,0.1844021436188663,0.1846937349800066,100,-0.00029159136114029205
2.0,33,0.22123617754800443,0.22283637014782284,99,-0.0016001925998184174
2.0,34,0.2167230137531728,0.21734855747522006,99,-0.0006255437220472615
