test_season,n_train_seasons,selected_candidate,train_rps,test_rps,fresh_rps,bookmaker_rps
2018/19,3,carry_s2_cos_w2_end22,0.21095821769250295,0.20591162972018062,0.2044872555275791,0.19494919356816304
2019/20,4,carry_s1_always,0.20883272882927756,0.21170280983609502,0.21379575337370482,0.20436580486310887
2020/21,5,carry_s1_always,0.20940674503064105,0.21471586044062313,0.21889300436151396,0.19660036777818987
2021/22,6,carry_s1_always,0.2102915975989714,0.20826749655447552,0.208723241049518,0.20248366317160452
2022/23,7,carry_s1_always,0.21000244030690055,0.21592054196469312,0.22051695181965744,0.20454113005547817
2023/24,8,carry_s1_hard_end30,0.21067381480265368,0.20032904149776148,0.2015846247034989,0.1843257678746629
2024/25,9,carry_s1_hard_end30,0.20952439554655453,0.21309599713016691,0.21567906093847408,0.2019175530385194
2025/26,10,carry_s1_hard_end30,0.20988155570491576,0.20360565146742507,0.2054701047906384,0.1898701825422491
