candidate,rps
bookmaker,0.19312166045659115
carry_s1_hard_end18,0.20582577808624408
carry_s1_hard_end20,0.20591369779738308
carry_s1_cos_w2_end18,0.20591558082960518
carry_s1_cos_w4_end20,0.20592131865590368
carry_s1_cos_w6_end22,0.20592852988303958
carry_s1_cos_w4_end22,0.2059418993455939
carry_s1_cos_w2_end22,0.20595124170794107
carry_s1_cos_w2_end20,0.2059520650507387
carry_s1_hard_end22,0.20595434245898078
carry_s1_cos_w6_end20,0.2059705716422038
carry_s1_cos_w6_end24,0.20598244992620374
carry_s1_cos_w4_end18,0.20602538385137614
carry_s1_cos_w4_end24,0.20602862443345676
carry_s1_hard_end12,0.20605849139978827
carry_s1_cos_w2_end10,0.20606423166704368
carry_s1_hard_end10,0.20607057560072192
carry_s1_hard_end16,0.20608048792746542
carry_s1_cos_w6_end26,0.2060824157691592
carry_s1_hard_end24,0.20609513286647363
carry_s1_cos_w6_end18,0.20610199570978163
carry_s1_cos_w2_end24,0.20610502349659235
carry_s1_cos_w4_end12,0.20611386425574824
carry_s1_cos_w2_end16,0.2061209029495869
carry_s1_cos_w6_end14,0.2061243739698853
carry_s1_cos_w2_end12,0.20613703466905753
carry_s1_cos_w4_end26,0.20614038661851095
carry_s1_cos_w4_end14,0.20614642506536904
carry_s1_cos_w6_end28,0.2061504926228981
carry_s1_cos_w6_end12,0.2061573978020305
carry_s1_cos_w6_end16,0.2061608853837234
carry_s1_hard_end26,0.2061638071976811
carry_s1_cos_w4_end28,0.2061661632446692
carry_s1_cos_w2_end26,0.20617686221214368
carry_s1_cos_w2_end28,0.2061802274522908
carry_s1_cos_w4_end16,0.20618387915000963
carry_s1_cos_w4_end10,0.20621137513473076
carry_s1_cos_w6_end30,0.20621336838817206
carry_s1_cos_w2_end14,0.20621698451545348
carry_s1_hard_end28,0.20621934525031055
carry_s1_hard_end14,0.20625748680820044
carry_s1_cos_w4_end30,0.20626692214332437
carry_s1_hard_end8,0.20632870471300724
carry_s1_cos_w2_end30,0.20636042260629148
carry_s1_cos_w6_end10,0.206364935620396
carry_s1_hard_end30,0.20640164906102876
carry_s1_cos_w2_end8,0.206418073198032
carry_s1_cos_w4_end8,0.20653439737757429
carry_s1_hard_end6,0.20659594335181516
carry_s1_always,0.2065990540879355
carry_s1_cos_w2_end6,0.20665461533338883
carry_s1_cos_w6_end8,0.2066847880966906
carry_s1_cos_w4_end6,0.20686461537654702
carry_s1_hard_end4,0.2069530232390414
carry_s1_cos_w6_end6,0.20698756575040209
carry_s1_cos_w2_end4,0.20716919337489204
carry_s1_cos_w4_end4,0.20727500460561454
carry_s1_cos_w6_end4,0.20727500460561454
fresh_always,0.20764182505403445
