summer_variance_scale,matchday,rps_fresh,rps_carry,n,fresh_minus_carry
1.0,1,0.2563704598707962,0.2640417000183504,9,-0.007671240147554215
1.0,2,0.19915886234459182,0.1867686103229093,9,0.012390252021682507
1.0,3,0.21856184910912468,0.2381288875945407,9,-0.019567038485416022
1.0,4,0.25057832476279485,0.23466306868594314,9,0.015915256076851708
1.0,5,0.22901751685728206,0.23276640255266765,9,-0.00374888569538559
1.0,6,0.19428399734835938,0.19225959069533471,9,0.0020244066530246685
1.0,7,0.19753023296370265,0.19631916911371278,9,0.0012110638499898685
1.0,8,0.13702044805418798,0.14571391508806808,9,-0.008693467033880103
1.0,9,0.20643755246568507,0.21190060266858946,9,-0.005463050202904385
1.0,10,0.14153413040742935,0.16144328428208857,9,-0.01990915387465922
1.0,11,0.14025665530790635,0.16725135686722725,9,-0.026994701559320905
1.0,12,0.2309445872093222,0.23979412818049153,9,-0.008849540971169328
1.0,13,0.2564918517514265,0.24960697332021986,9,0.006884878431206665
1.0,14,0.22728391021633604,0.22065089854782569,9,0.006633011668510352
1.0,15,0.19402526445233445,0.20318395170831458,9,-0.009158687255980125
1.0,16,0.17422901584734543,0.1591154760888886,7,0.015113539758456834
1.0,17,0.10518745145130597,0.09493462954899788,9,0.010252821902308085
1.0,18,0.14391797061191175,0.14350965269516516,10,0.0004083179167465867
1.0,19,0.20698338380828196,0.22850098820267414,9,-0.02151760439439218
1.0,20,0.21489597652032175,0.2213034115034297,9,-0.006407434983107946
1.0,21,0.18785782183307342,0.21410209203630529,9,-0.026244270203231862
1.0,22,0.18840976220547492,0.1579475471293764,9,0.03046221507609853
1.0,23,0.21644723963741608,0.22028572715904093,9,-0.003838487521624856
1.0,24,0.23582119161217477,0.2338218095828512,10,0.0019993820293235653
1.0,25,0.17369788390108798,0.1835215528904238,9,-0.009823668989335815
1.0,26,0.19992145157431013,0.20663514869583466,9,-0.006713697121524531
1.0,27,0.16591971363117414,0.16544873217485143,9,0.00047098145632271105
1.0,28,0.20038858167052181,0.1787520769639296,9,0.021636504706592202
1.0,29,0.20816466415633128,0.20558270295186448,9,0.0025819612044667983
1.0,30,0.19938381005492223,0.17732229597440105,9,0.022061514080521177
1.0,31,0.1410259599808842,0.14494172473689718,9,-0.003915764756012963
1.0,32,0.25070131680256097,0.244507853574634,9,0.006193463227926965
1.0,33,0.2054176529987114,0.22026404123849874,9,-0.014846388239787345
1.0,34,0.19999353035494533,0.21763889359790167,9,-0.017645363242956347
