candidate,rps
bookmaker,0.18987018254224913
carry_s1_hard_end8,0.1970818202550228
carry_s1_cos_w2_end8,0.19708869766040274
carry_s1_cos_w4_end8,0.19709239650299998
fresh_always,0.1970981089101167
carry_s1_cos_w2_end6,0.19711359829632963
carry_s1_cos_w6_end10,0.1971378860750542
carry_s1_cos_w6_end8,0.19714419186124815
carry_s1_cos_w6_end4,0.197176302083511
carry_s1_cos_w4_end4,0.197176302083511
carry_s1_hard_end6,0.19717698115217028
carry_s1_cos_w6_end6,0.19719288054514714
carry_s1_cos_w4_end6,0.1972129143974511
carry_s1_cos_w4_end10,0.19721381587949433
carry_s1_cos_w2_end4,0.1972333479116667
carry_s1_cos_w2_end10,0.19740738908315805
carry_s1_hard_end10,0.19749818840904587
carry_s1_cos_w6_end12,0.19751435382744903
carry_s1_hard_end4,0.1975348155751546
carry_s1_cos_w4_end12,0.19785020269044296
carry_s1_cos_w6_end14,0.19831946842005446
carry_s1_hard_end18,0.1983624941823228
carry_s1_cos_w2_end12,0.19845438928675058
carry_s1_cos_w4_end20,0.1984663533026441
carry_s1_cos_w2_end18,0.19849248600011352
carry_s1_cos_w6_end20,0.19856632584578154
carry_s1_cos_w2_end20,0.19864480093094034
carry_s1_cos_w4_end18,0.19870627210929492
carry_s1_cos_w6_end22,0.19873109578385645
recommended_s1,0.19877620039088514
carry_s1_cos_w6_end18,0.19877620039088514
carry_s1_cos_w4_end14,0.19882654393840618
carry_s1_cos_w6_end16,0.19884824553129557
carry_s1_cos_w2_end16,0.1988493814992759
carry_s1_hard_end30,0.19885420825901212
carry_s1_cos_w2_end30,0.1988728876311012
carry_s1_hard_end12,0.1988777135688688
carry_s1_cos_w4_end16,0.19888462393160594
carry_s1_hard_end14,0.19893549776122066
carry_s1_hard_end20,0.19898202117703542
carry_s1_hard_end16,0.1990097823373227
carry_s1_cos_w2_end14,0.1990260934357666
carry_s1_cos_w4_end22,0.19904683140435514
carry_s1_cos_w2_end24,0.19907693870693707
carry_s1_always,0.19909398881578588
carry_s1_cos_w4_end26,0.19909859716448636
carry_s1_hard_end24,0.1991593146367962
carry_s1_cos_w6_end24,0.19917767729133237
carry_s1_cos_w6_end26,0.1992004754797059
carry_s1_cos_w4_end30,0.19920452798619342
carry_s1_cos_w2_end26,0.1992222214807766
carry_s1_cos_w6_end28,0.19923843162271485
carry_s1_cos_w6_end30,0.19929727571760256
carry_s1_cos_w4_end24,0.19935030671689283
carry_s1_hard_end26,0.19938290679565498
carry_s1_cos_w4_end28,0.19941341085662465
carry_s1_cos_w2_end22,0.19953388004243713
carry_s1_cos_w2_end28,0.19955840776829006
carry_s1_hard_end28,0.19956651607992562
carry_s1_hard_end22,0.1999423654472219
