candidate,config,strategy,phase,n,rps
level_all10:bookmaker,level_all10,bookmaker,full_season,3060,0.198456428842633
level_all10:soft_blend_h17,level_all10,soft_blend_h17,full_season,3060,0.20618799611200506
level_all10:soft_blend_h10,level_all10,soft_blend_h10,full_season,3060,0.2062151745827493
level_all10:soft_blend_h6,level_all10,soft_blend_h6,full_season,3060,0.20657128404824557
level_all10:cosine_taper_k25,level_all10,cosine_taper_k25,full_season,3060,0.20674830537435093
level_all10:cosine_taper_k30,level_all10,cosine_taper_k30,full_season,3060,0.20675592249681268
level_all10:cosine_taper_k18,level_all10,cosine_taper_k18,full_season,3060,0.20677545554779342
level_all10:soft_blend_h3,level_all10,soft_blend_h3,full_season,3060,0.20738929173077636
level_all10:midseason_reset,level_all10,midseason_reset,full_season,3060,0.20799381202337192
level_all10:updating_prior,level_all10,updating_prior,full_season,3060,0.20821465759030627
level_all10:current_only,level_all10,current_only,full_season,3060,0.2103878460431671
level_all10:bookmaker,level_all10,bookmaker,matchdays_18_34,1530,0.19945809580510912
level_all10:soft_blend_h17,level_all10,soft_blend_h17,matchdays_18_34,1530,0.2057058678970865
level_all10:soft_blend_h10,level_all10,soft_blend_h10,matchdays_18_34,1530,0.20612184717699972
level_all10:cosine_taper_k30,level_all10,cosine_taper_k30,matchdays_18_34,1530,0.20653675719990122
level_all10:soft_blend_h6,level_all10,soft_blend_h6,matchdays_18_34,1530,0.20663429254074026
level_all10:cosine_taper_k25,level_all10,cosine_taper_k25,matchdays_18_34,1530,0.20684252901676492
level_all10:soft_blend_h3,level_all10,soft_blend_h3,matchdays_18_34,1530,0.2069567571522342
level_all10:current_only,level_all10,current_only,matchdays_18_34,1530,0.20698878427901427
level_all10:midseason_reset,level_all10,midseason_reset,matchdays_18_34,1530,0.20698878427901427
level_all10:cosine_taper_k18,level_all10,cosine_taper_k18,matchdays_18_34,1530,0.20698878427901427
level_all10:updating_prior,level_all10,updating_prior,matchdays_18_34,1530,0.20743047541288287
level_all10:bookmaker,level_all10,bookmaker,matchdays_1_5,450,0.19082258651516176
level_all10:soft_blend_h17,level_all10,soft_blend_h17,matchdays_1_5,450,0.20145444112922267
level_all10:cosine_taper_k30,level_all10,cosine_taper_k30,matchdays_1_5,450,0.20150487800500316
level_all10:cosine_taper_k25,level_all10,cosine_taper_k25,matchdays_1_5,450,0.20150691770644927
level_all10:updating_prior,level_all10,updating_prior,matchdays_1_5,450,0.20152128862642482
level_all10:midseason_reset,level_all10,midseason_reset,matchdays_1_5,450,0.20152128862642482
level_all10:cosine_taper_k18,level_all10,cosine_taper_k18,matchdays_1_5,450,0.2015497901494301
level_all10:soft_blend_h10,level_all10,soft_blend_h10,matchdays_1_5,450,0.20161696677551932
level_all10:soft_blend_h6,level_all10,soft_blend_h6,matchdays_1_5,450,0.20212145197029963
level_all10:soft_blend_h3,level_all10,soft_blend_h3,matchdays_1_5,450,0.20399954134678114
level_all10:current_only,level_all10,current_only,matchdays_1_5,450,0.2210344117868324
level_all10:bookmaker,level_all10,bookmaker,matchdays_6_17,1080,0.20021816828223815
level_all10:soft_blend_h10,level_all10,soft_blend_h10,matchdays_6_17,1080,0.20826330832724027
level_all10:soft_blend_h6,level_all10,soft_blend_h6,matchdays_6_17,1080,0.2083361187163556
level_all10:cosine_taper_k18,level_all10,cosine_taper_k18,matchdays_6_17,1080,0.20865060042788203
level_all10:cosine_taper_k25,level_all10,cosine_taper_k25,matchdays_6_17,1080,0.2087987334092235
level_all10:soft_blend_h17,level_all10,soft_blend_h17,matchdays_6_17,1080,0.20884332565929903
level_all10:cosine_taper_k30,level_all10,cosine_taper_k30,matchdays_6_17,1080,0.2092543418723579
level_all10:soft_blend_h3,level_all10,soft_blend_h3,matchdays_6_17,1080,0.20941444504370918
level_all10:current_only,level_all10,current_only,matchdays_6_17,1080,0.21076711448252305
level_all10:updating_prior,level_all10,updating_prior,matchdays_6_17,1080,0.21211448607660655
level_all10:midseason_reset,level_all10,midseason_reset,matchdays_6_17,1080,0.21211448607660655
